Team,Player,Pitch Type,Throws,Pitches,BBE,EV,HH%,Barrel%,Barrels,BA,xBA,wOBA,xwOBA,Swing%,Z-Contact%,Chase%,Whiff%,Velo,Velo 90,Max Velo,Spin Rate,iVB,HB,VAA,HAA,RelHeight,RelSide,Extension,Stuff+,Location+,xRV+,Anomaly+,Tunnel+,PredMovDiff+
San Diego,Andrew Mosiello,Changeup,R,25,5,85.8,20.0%,0.0%,0,0.125,0.209,0.255,0.244,56.0%,62.5%,37.5%,42.9%,84.0,85.3,86.3,1987,"9.7""","9.6""",-6.8°,-0.7°,5.1',1.2',6.7',99,99,75,105,96,101
San Diego,Tristan LaMaison,Changeup,R,34,11,88.3,27.3%,0.0%,0,0.2,0.323,0.256,0.422,58.8%,92.3%,33.3%,15.0%,82.5,83.4,84.5,1730,"12.4""","13.8""",-6.9°,0.1°,5.8',1.6',6.2',97,95,101,91,96,96
San Diego,Logan Reddemann,Fastball,R,447,85,86.0,38.4%,3.5%,3,0.232,0.296,0.273,0.335,50.8%,87.4%,23.1%,15.0%,92.7,94.6,96.1,2185,"15.6""","11.2""",-4.9°,-1.2°,5.8',1.9',6.0',89,105,98,92,99,94
San Diego State,Peyton Rodgers,Fastball,R,462,75,81.7,25.0%,1.3%,1,0.222,0.246,0.283,0.279,43.9%,87.5%,26.3%,16.7%,89.1,90.7,92.3,2119,"13.0""","18.9""",-5.6°,-0.6°,5.5',2.2',5.1',79,108,99,97,103,102
San Diego State,Luka Pintar,Slider,L,40,9,80.9,33.3%,11.1%,1,0.273,0.227,0.289,0.303,45.0%,84.6%,26.3%,11.1%,76.5,78.7,79.7,1991,"4.2""","0.9""",-7.6°,2.1°,5.3',-1.5',6.0',92,126,118,102,98,103
San Diego,Callan Scolari,Fastball,R,739,98,87.0,32.3%,2.0%,2,0.224,0.223,0.294,0.283,42.1%,83.1%,23.3%,22.8%,92.6,94.4,96.5,2420,"17.6""","5.4""",-4.9°,-0.3°,6.0',0.7',6.4',94,98,97,100,98,96
San Diego,Tristan LaMaison,Fastball,R,301,45,92.2,41.3%,8.7%,4,0.212,0.274,0.295,0.346,41.2%,83.0%,23.4%,25.8%,88.5,89.6,92.1,2246,"20.4""","11.7""",-5.1°,-0.7°,5.9',1.5',6.5',102,106,110,96,103,98
San Diego State,Aidan Russell,Slider,R,50,11,92.1,36.4%,9.1%,1,0.167,0.289,0.296,0.424,54.0%,70.6%,32.3%,44.4%,81.3,82.8,84.0,2411,"8.7""","-1.9""",-6.8°,-2.2°,5.2',1.3',6.5',111,119,107,99,98,108
San Diego,Hayden Cody,Cutter,R,81,10,85.5,20.0%,0.0%,0,0.188,0.159,0.298,0.25,43.2%,77.3%,27.7%,48.6%,85.7,86.8,87.8,2248,"5.3""","0.1""",-7.0°,-1.2°,5.4',0.7',5.9',115,89,87,93,98,94
San Diego State,Alito McBean,Curveball,L,46,5,81.4,20.0%,0.0%,0,0.333,0.301,0.309,0.295,28.3%,75.0%,14.7%,30.8%,75.6,77.1,78.0,2214,"-10.2""","14.1""",-10.0°,2.4°,6.0',-1.3',5.6',106,93,102,107,105,127
San Diego State,Aidan Russell,Changeup,R,39,6,81.5,33.3%,0.0%,0,0.333,0.321,0.309,0.32,38.5%,80.0%,20.8%,13.3%,80.8,83.2,84.9,1948,"9.0""","6.8""",-6.9°,-0.5°,5.1',1.4',6.2',100,112,110,94,97,105
San Diego State,Luka Pintar,Sinker,L,73,10,83.5,30.0%,0.0%,0,0.231,0.228,0.312,0.294,34.2%,100.0%,21.4%,8.0%,82.2,83.9,84.7,1953,"7.7""","-17.6""",-6.7°,0.4°,5.4',-1.7',6.2',93,91,111,100,96,97
UC San Diego,Matthew Dalquist,Curveball,R,68,14,83.7,28.6%,21.4%,3,0.2,0.264,0.314,0.405,35.3%,94.7%,16.1%,12.5%,74.9,77.3,83.1,2453,"-10.8""","-12.4""",-9.5°,-2.3°,5.6',1.1',5.2',108,131,125,97,111,127
San Diego,Callan Scolari,Slider,R,220,26,77.7,17.9%,0.0%,0,0.233,0.191,0.318,0.273,32.3%,66.0%,18.5%,38.0%,83.0,84.8,94.2,2454,"6.1""","-8.6""",-7.5°,-2.0°,5.9',0.8',5.9',134,99,113,93,99,104
San Diego,Andrew Mosiello,Slider,R,152,13,81.5,21.4%,7.1%,1,0.222,0.299,0.322,0.343,36.2%,84.0%,32.3%,43.6%,77.9,84.3,87.1,2315,"-2.6""","-11.9""",-8.2°,-2.9°,5.1',1.3',5.8',106,117,107,97,101,100
San Diego,Hayden Cody,Fastball,R,197,50,87.3,40.7%,5.6%,3,0.254,0.32,0.324,0.379,46.2%,94.2%,21.4%,12.1%,91.3,92.8,93.6,2075,"10.6""","16.9""",-5.8°,0.9°,5.5',0.6',5.6',84,91,99,98,98,107
San Diego,Austin Smith,Changeup,L,172,28,80.2,23.3%,6.7%,2,0.209,0.169,0.324,0.275,42.4%,66.7%,32.0%,35.6%,80.6,82.7,87.7,1436,"7.7""","-13.0""",-7.3°,0.0°,5.5',-1.6',6.1',113,92,93,99,99,93
UC San Diego,Zach Ernisse,Fastball,L,101,9,81.9,22.2%,0.0%,0,0.188,0.283,0.326,0.355,40.6%,66.7%,22.6%,31.7%,88.7,90.9,92.4,2183,"22.5""","-5.4""",-4.8°,0.5°,5.8',-0.8',5.8',115,92,107,100,102,103
UC San Diego,Devon King,Cutter,R,55,7,83.6,28.6%,0.0%,0,0.273,0.236,0.327,0.307,38.2%,84.6%,24.2%,38.1%,83.9,85.4,86.1,2614,"9.6""","-2.4""",-6.4°,-1.8°,5.5',1.0',5.3',115,107,118,93,98,95
