game_date,location,attendance,inning,inning_top_bot,outs,score,batting,fielding,batting_team_norm,pitching_team_norm,inning_leadoff,is_pa,reached_base,runs_scored_half,event_category,total_bases,any_adv,is_walk,is_hbp,is_k,defensive_error,description,game_pbp_url,game_pbp_id
05/02/2026,"Joe Etzel Field (Portland, OR)",338,1,top,0,0-0,San Diego Toreros,Portland Pilots,USD,Portland Pilots,1,1,1,1,double,2,0,0,0,0,0,Moran doubled to right center.,https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,1,top,1,0-0,San Diego Toreros,Portland Pilots,USD,Portland Pilots,0,1,0,1,other,0,0,0,0,0,0,Mestas flied out to cf3a Moran advanced to third.,https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,1,top,1,0-0,San Diego Toreros,Portland Pilots,USD,Portland Pilots,0,1,1,1,other,0,0,0,0,0,0,Gauna walked.,https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,1,top,2,1-0,San Diego Toreros,Portland Pilots,USD,Portland Pilots,0,1,0,1,other,0,0,0,0,0,0,"GonzalezD grounded out to p, SAC, RBI3a Gauna advanced to second3a Moran scored.",https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,1,top,3,1-0,San Diego Toreros,Portland Pilots,USD,Portland Pilots,0,1,0,1,other,0,0,0,0,0,0,Meidroth flied out to rf.,https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,1,bot,0,1-0,Portland Pilots,San Diego Toreros,Portland Pilots,USD,1,1,1,1,other,0,0,0,0,0,0,"NITOWITZ, C walked.",https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,1,bot,0,1-0,Portland Pilots,San Diego Toreros,Portland Pilots,USD,0,1,1,1,other,0,0,0,0,0,0,"STEWART, C walked3a NITOWITZ, C advanced to second.",https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,1,bot,0,1-0,Portland Pilots,San Diego Toreros,Portland Pilots,USD,0,1,1,1,other,0,0,0,0,0,0,"SWYGART, T walked3a STEWART, C advanced to second3a NITOWITZ, C advanced to third.",https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,1,bot,1,1-0,Portland Pilots,San Diego Toreros,Portland Pilots,USD,0,1,0,1,other,0,0,0,0,0,0,"KATAYAMA, C flied out to lf.",https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,1,bot,2,1-1,Portland Pilots,San Diego Toreros,Portland Pilots,USD,0,1,0,1,other,0,0,0,0,0,0,"COTE, L flied out to cf, SF, RBI3a STEWART, C advanced to third3a NITOWITZ, C scored.",https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,1,bot,3,1-1,Portland Pilots,San Diego Toreros,Portland Pilots,USD,0,1,0,1,other,0,0,0,0,0,0,"MILLER, N lined out to ss.",https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,2,top,1,1-1,San Diego Toreros,Portland Pilots,USD,Portland Pilots,0,1,0,0,other,0,0,0,0,0,0,Kern lined out to 1b.,https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,2,top,2,1-1,San Diego Toreros,Portland Pilots,USD,Portland Pilots,0,1,0,0,other,0,0,0,0,1,0,Lobliner struck out looking.,https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,2,top,2,1-1,San Diego Toreros,Portland Pilots,USD,Portland Pilots,0,1,1,0,single,1,0,0,0,0,0,Brant singled up the middle.,https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,2,top,2,1-1,San Diego Toreros,Portland Pilots,USD,Portland Pilots,0,0,0,0,other,0,1,0,0,0,0,Brant advanced to second on a wild pitch.,https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,2,top,3,1-1,San Diego Toreros,Portland Pilots,USD,Portland Pilots,0,1,0,0,other,0,0,0,0,1,0,Martinez struck out swinging.,https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,2,bot,0,1-1,Portland Pilots,San Diego Toreros,Portland Pilots,USD,1,1,1,1,other,0,0,0,0,0,0,"BEAN, B walked.",https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,2,bot,1,1-1,Portland Pilots,San Diego Toreros,Portland Pilots,USD,0,1,0,1,other,0,0,0,0,0,0,"SALK, J popped up to 1b.",https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,2,bot,2,1-1,Portland Pilots,San Diego Toreros,Portland Pilots,USD,0,1,0,1,other,0,0,0,0,0,0,"CHUN, D flied out to cf.",https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,2,bot,2,1-2,Portland Pilots,San Diego Toreros,Portland Pilots,USD,0,1,1,1,double,2,0,0,0,0,0,"NITOWITZ, C doubled, RBI3a BEAN, B scored.",https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,2,bot,2,1-2,Portland Pilots,San Diego Toreros,Portland Pilots,USD,0,1,1,1,hit_by_pitch,0,0,0,1,0,0,"STEWART, C hit by pitch.",https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,2,bot,2,1-2,Portland Pilots,San Diego Toreros,Portland Pilots,USD,0,1,1,1,hit_by_pitch,0,0,0,1,0,0,"SWYGART, T hit by pitch3a STEWART, C advanced to second3a NITOWITZ, C advanced to third.",https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,2,bot,3,1-2,Portland Pilots,San Diego Toreros,Portland Pilots,USD,0,1,0,1,other,0,0,0,0,0,0,"KATAYAMA, C grounded out to 2b.",https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,3,top,1,1-2,San Diego Toreros,Portland Pilots,USD,Portland Pilots,0,1,0,0,other,0,0,0,0,1,0,Moran struck out swinging.,https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,3,top,1,1-2,San Diego Toreros,Portland Pilots,USD,Portland Pilots,0,1,1,0,other,0,0,0,0,0,1,Mestas reached on an error by ss.,https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,3,top,1,1-2,San Diego Toreros,Portland Pilots,USD,Portland Pilots,0,1,1,0,single,1,0,0,0,0,0,Gauna singled to center field3a Mestas advanced to second.,https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,3,top,2,1-2,San Diego Toreros,Portland Pilots,USD,Portland Pilots,0,1,0,0,other,0,0,0,0,1,0,GonzalezD struck out swinging.,https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,3,top,3,1-2,San Diego Toreros,Portland Pilots,USD,Portland Pilots,0,1,0,0,other,0,0,0,0,0,0,"Mestas out at third c to 3b, caught stealing.",https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,3,bot,0,1-2,Portland Pilots,San Diego Toreros,Portland Pilots,USD,1,1,1,3,single,1,0,0,0,0,0,"COTE, L singled to second base.",https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,3,bot,1,1-2,Portland Pilots,San Diego Toreros,Portland Pilots,USD,0,1,0,3,other,0,0,0,0,0,0,"MILLER, N flied out to lf.",https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,3,bot,2,1-2,Portland Pilots,San Diego Toreros,Portland Pilots,USD,0,1,0,3,other,0,0,0,0,1,0,"BEAN, B struck out looking.",https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,3,bot,2,1-2,Portland Pilots,San Diego Toreros,Portland Pilots,USD,0,1,1,3,single,1,0,0,0,0,0,"SALK, J singled to center field3a COTE, L advanced to second.",https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,3,bot,2,1-5,Portland Pilots,San Diego Toreros,Portland Pilots,USD,0,1,1,3,home_run,4,0,0,0,0,0,"CHUN, D homered to right field, 3 RBI3a SALK, J scored3a COTE, L scored.",https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,3,bot,2,1-5,Portland Pilots,San Diego Toreros,Portland Pilots,USD,0,1,1,3,other,0,0,0,0,0,0,"NITOWITZ, C walked.",https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,3,bot,2,1-5,Portland Pilots,San Diego Toreros,Portland Pilots,USD,0,0,0,3,other,0,1,0,0,0,0,"NITOWITZ, C stole second.",https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,3,bot,3,1-5,Portland Pilots,San Diego Toreros,Portland Pilots,USD,0,1,0,3,other,0,0,0,0,1,0,"STEWART, C struck out swinging.",https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,4,top,0,1-5,San Diego Toreros,Portland Pilots,USD,Portland Pilots,1,1,1,3,double,2,0,0,0,0,0,Meidroth doubled to left center.,https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,4,top,1,1-5,San Diego Toreros,Portland Pilots,USD,Portland Pilots,0,1,0,3,other,0,0,0,0,0,0,Kern flied out to rf3a Meidroth advanced to third.,https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,4,top,2,2-5,San Diego Toreros,Portland Pilots,USD,Portland Pilots,0,1,0,3,other,0,0,0,0,0,0,"Lobliner grounded out to ss, RBI3a Meidroth scored.",https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,4,top,2,2-5,San Diego Toreros,Portland Pilots,USD,Portland Pilots,0,1,1,3,single,1,0,0,0,0,0,Brant singled to center field.,https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,4,top,2,2-5,San Diego Toreros,Portland Pilots,USD,Portland Pilots,0,0,0,3,other,0,1,0,0,0,0,Brant advanced to second on a wild pitch.,https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,4,top,2,3-5,San Diego Toreros,Portland Pilots,USD,Portland Pilots,0,1,1,3,single,1,0,0,0,0,0,"Martinez singled to right field, RBI3a Brant scored.",https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,4,top,2,3-5,San Diego Toreros,Portland Pilots,USD,Portland Pilots,0,1,1,3,single,1,0,0,0,0,0,Moran singled to center field3a Martinez advanced to third.,https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,4,top,2,4-5,San Diego Toreros,Portland Pilots,USD,Portland Pilots,0,0,0,3,other,0,2,0,0,0,0,Moran advanced to second on a wild pitch3a Martinez scored on a wild pitch.,https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,4,top,3,4-5,San Diego Toreros,Portland Pilots,USD,Portland Pilots,0,1,0,3,other,0,0,0,0,1,0,Mestas struck out swinging.,https://stats.ncaa.org/contests/6535305/play_by_play,6535305
05/02/2026,"Joe Etzel Field (Portland, OR)",338,4,bot,0,4-5,Portland Pilots,San Diego Toreros,Portland Pilots,USD,1,1,1,0,hit_by_pitch,0,0,0,1,0,0,"SWYGART, T hit by pitch.",https://stats.ncaa.org/contests/6535305/play_by_play,6535305
