description
"/ for MOSIELLO, A."
"/ for ROBERTSON, J."
"105.1 Exit Velo, 31 deg. Launch Angle, Distance: 398 ft."
"108.3 Exit Velo, 34 deg. Launch Angle, Distance: 424 ft."
"110.5 Exit Velo, 22 deg. Launch Angle, Distance: 389 ft."
"ANZAI, AJ flied out to rf to right center (2-2)."
"ANZAI, AJ fouled out to lf (2-0)."
"ANZAI, AJ grounded out to 2b (1-1)."
"ANZAI, AJ infield fly to 3b (1-2 KFB)."
"ANZAI, AJ lined out to rf (1-2)."
"ANZAI, AJ singled to center field, RBI (1-2); SMITH, A scored."
"ANZAI, AJ singled to left field, RBI (3-2 KFBBBF); WATSON, R scored."
"ANZAI, AJ singled to right field, 2 RBI (0-2 KKF); BELTRE, AJ advanced to third; WATSON, R scored, unearned; LOBLINER, J scored, unearned."
"ANZAI, AJ singled up the middle (2-1); BELTRE, AJ advanced to third."
"ANZAI, AJ struck out looking (2-2 KBBFK)."
"ANZAI, AJ struck out swinging (2-2 KBKBS)."
"ANZAI, AJ struck out swinging (2-2)."
"ANZAI, AJ walked (3-0 BBBB)."
"ANZAI, AJ walked (3-1)."
Ad. Vidal flied out to cf to right center (1-2).
Ad. Vidal to ss for Petersen.
Ad. Vidal to ss for Sloan.
"BELTRE, AJ doubled to right field, RBI (1-2 KBSFFFF); WATSON, R advanced to third; LOBLINER, J scored."
"BELTRE, AJ flied out to cf (1-1)."
"BELTRE, AJ flied out to cf, SF, RBI (0-1); WATSON, R scored, unearned."
"BELTRE, AJ flied out to rf (0-0)."
"BELTRE, AJ flied out to rf (1-2 FFB)."
"BELTRE, AJ grounded out to ss (1-1 KB)."
"BELTRE, AJ grounded out to ss (2-2)."
"BELTRE, AJ hit by pitch (1-2 KKB); LOBLINER, J advanced to second."
"BELTRE, AJ homered to left field, 2 RBI (1-0 B)3a LOBLINER, J scored, unearned."
"BELTRE, AJ out at first 3b to 2b, SAC, bunt (0-0); WATSON, R advanced to third."
"BELTRE, AJ out at second c to 2b, caught stealing."
"BELTRE, AJ reached on a fielder's choice to shortstop (0-2); WATSON, R out at second ss to 2b."
"BELTRE, AJ reached on a fielder's choice to shortstop (1-0 B)3a LOBLINER, J out at second ss to 2b3a SMITH, A advanced to third."
"BELTRE, AJ singled through the left side, RBI (2-2 SKBFB); WATSON, R advanced to second; LOBLINER, J advanced to third; SMITH, A scored, unearned."
"BELTRE, AJ singled to right field, 2 RBI (0-2); WATSON, R advanced to third; LOBLINER, J scored; SMITH, A scored."
"BELTRE, AJ singled to third base, RBI (1-1); LOBLINER, J scored, unearned."
"BELTRE, AJ to p for PALENCIA, F."
"BELTRE, AJ walked (3-1); WATSON, R advanced to second."
Bicknell advanced to second on a wild pitch.
Bicknell flied out to rf (0-1).
Bicknell grounded into double play 3b to 2b to 1b (0-1); Bobo out on the play.
Bicknell grounded out to 2b (2-2).
Bicknell grounded out to p (0-1); Schnabel advanced to second.
Bicknell grounded out to p (2-1).
Bicknell lined out to lf (1-1).
Bicknell popped up to 1b (0-0).
Bicknell reached on a fielder's choice (1-2); Waldon out at second ss to 2b; Scott advanced to third.
Bicknell reached on a fielding error by ss (1-1).
"Bicknell singled up the middle, RBI (1-1); Schnabel scored."
Bicknell struck out swinging (2-2).
Bobo flied out to cf (0-0).
Bobo flied out to cf to right center (1-2).
Bobo flied out to rf to right center (0-0).
Bobo grounded out to 3b (0-0).
Bobo grounded out to ss (0-0).
Bobo hit by pitch (0-0).
Bobo singled to shortstop (0-0).
Bobo stole second.
Bobo struck out looking (3-2).
Bobo struck out swinging (2-2).
Bobo struck out swinging (3-2).
Bobo walked (3-1).
Brown flied out to lf (3-2).
Brown singled to center field (3-2).
Brown struck out swinging (2-2).
CARSTON grounded out to ss (1-0 B).
CARSTON hit by pitch (0-0).
CARSTON struck out swinging (3-2 BBKBFS).
CARSTON to c for LUETZOW.
CLEARY doubled to right field (0-2 KF).
CLEARY lined out to rf (2-0 BB).
CLEARY singled through the left side (0-0); GARCIA advanced to second.
"CODY, H to p for HARRISON, D."
"CODY, H to p for PALENCIA, F."
"CODY, H to p for ROVIN, P."
"CUNNINGHAM flied out to rf, SF, RBI (0-0); FERROGGIARO scored."
CUNNINGHAM struck out swinging (1-2 BFFS).
CUNNINGHAM to ss for CLEARY.
"Castellanos, flied out to lf (0-0)."
"Castellanos, grounded out to 3b, SAC, bunt (0-1 F)3a Duroff, Bria advanced to second."
"Castellanos, grounded out to ss (1-1 BK)3a Duroff, Bria advanced to third."
"Castellanos, singled through the right side, RBI (2-0 BB)3a Duroff, Bria advanced to second3a Kashimoto, C scored."
"Castellanos, walked (3-2 BKFBBB)."
Cruz to p for Nino.
"DEVINE doubled to left field, RBI (3-1 KBBB); ROSS advanced to third; CARSTON scored."
"DEVINE homered to left center, 3 RBI (0-0); WILLIAMS scored; ROSS scored."
DEVINE singled to pitcher (0-0).
DEVINE walked (3-1 BSBBB); FILTER advanced to second.
"Damozonio, J to p for Joslin, Elli."
Davis out at first 1b to p (1-1).
Davis struck out swinging (2-2).
"Duroff, Bria doubled to left field, RBI (1-2 FFB)3a Pierce, Ryan scored."
"Duroff, Bria flied out to rf (1-1 BF)."
"Duroff, Bria reached on a throwing error by 3b (0-1 K)."
"Duroff, Bria singled through the left side (0-1 F)3a Kashimoto, C advanced to second."
