game_date,location,attendance,inning,inning_top_bot,outs,score,batting,fielding,batting_team_norm,pitching_team_norm,inning_leadoff,is_pa,reached_base,runs_scored_half,event_category,total_bases,any_adv,is_walk,is_hbp,is_k,defensive_error,description,game_pbp_url,game_pbp_id
05/09/2026,"Klein Family Field (Stockton, CA)",250,1,top,0,0-0,San Diego Toreros,Pacific Tigers,USD,Pacific Tigers,1,1,1,2,double,2,0,0,0,0,0,CJ Moran doubled to left center (2-0 BB).,https://stats.ncaa.org/contests/6507954/play_by_play,6507954
05/09/2026,"Klein Family Field (Stockton, CA)",250,1,top,1,0-0,San Diego Toreros,Pacific Tigers,USD,Pacific Tigers,0,1,0,2,other,0,0,0,0,0,0,"Gage Mestas out at first 3b to 2b, SAC, bunt (0-0); CJ Moran advanced to third.",https://stats.ncaa.org/contests/6507954/play_by_play,6507954
05/09/2026,"Klein Family Field (Stockton, CA)",250,1,top,2,1-0,San Diego Toreros,Pacific Tigers,USD,Pacific Tigers,0,1,0,2,other,0,1,0,0,0,0,"Andrew Gauna flied out to rf, sacrifice fly, RBI (3-2 BSBSB); CJ Moran scored.",https://stats.ncaa.org/contests/6507954/play_by_play,6507954
05/09/2026,"Klein Family Field (Stockton, CA)",250,1,top,2,1-0,San Diego Toreros,Pacific Tigers,USD,Pacific Tigers,0,1,1,2,triple,3,0,0,0,0,0,Diego Gonzalez tripled down the rf line (2-1 SBB).,https://stats.ncaa.org/contests/6507954/play_by_play,6507954
05/09/2026,"Klein Family Field (Stockton, CA)",250,1,top,2,1-0,San Diego Toreros,Pacific Tigers,USD,Pacific Tigers,0,1,1,2,walk,0,0,1,0,0,0,Jayden Lobliner walked (3-1 BBBKB).,https://stats.ncaa.org/contests/6507954/play_by_play,6507954
05/09/2026,"Klein Family Field (Stockton, CA)",250,1,top,3,2-0,San Diego Toreros,Pacific Tigers,USD,Pacific Tigers,0,1,0,2,other,0,0,0,0,0,0,"Jayden Lobliner out at second c to ss to 1b to 2b, caught stealing; Diego Gonzalez scored.",https://stats.ncaa.org/contests/6507954/play_by_play,6507954
05/09/2026,"Klein Family Field (Stockton, CA)",250,1,bot,1,2-0,Pacific Tigers,San Diego Toreros,Pacific Tigers,USD,0,1,0,0,other,0,0,0,0,0,0,Brendan O'Sullivan grounded out to 2b (0-2 KK).,https://stats.ncaa.org/contests/6507954/play_by_play,6507954
05/09/2026,"Klein Family Field (Stockton, CA)",250,1,bot,2,2-0,Pacific Tigers,San Diego Toreros,Pacific Tigers,USD,0,1,0,0,other,0,0,0,0,1,0,JT Shank struck out looking (2-2 BBSSFK).,https://stats.ncaa.org/contests/6507954/play_by_play,6507954
05/09/2026,"Klein Family Field (Stockton, CA)",250,1,bot,3,2-0,Pacific Tigers,San Diego Toreros,Pacific Tigers,USD,0,1,0,0,other,0,0,0,0,0,0,Jake Tandy grounded out to ss (1-2 BFKFF).,https://stats.ncaa.org/contests/6507954/play_by_play,6507954
05/09/2026,"Klein Family Field (Stockton, CA)",250,2,top,0,2-0,San Diego Toreros,Pacific Tigers,USD,Pacific Tigers,1,1,1,0,double,2,0,0,0,0,0,Phoenix Brant doubled to left center (0-1 F).,https://stats.ncaa.org/contests/6507954/play_by_play,6507954
