game_date,location,attendance,inning,inning_top_bot,outs,score,batting,fielding,batting_team_norm,pitching_team_norm,inning_leadoff,is_pa,reached_base,runs_scored_half,event_category,total_bases,any_adv,is_walk,is_hbp,is_k,defensive_error,description,game_pbp_url,game_pbp_id
05/14/2026,,561,1,top,0,0-0,LMU (CA) Lions,San Diego Toreros,LMU (CA) Lions,USD,1,1,1,3,walk,0,0,1,0,0,0,"Ghiorso,DJ walked (3-1 KBBBB).",https://stats.ncaa.org/contests/6496434/play_by_play,6496434
05/14/2026,,561,1,top,0,0-0,LMU (CA) Lions,San Diego Toreros,LMU (CA) Lions,USD,0,1,1,3,double,2,0,0,0,0,0,"Wadas,Zach doubled down the left field line (1-0 B); Ghiorso,DJ advanced from first base to third base.",https://stats.ncaa.org/contests/6496434/play_by_play,6496434
05/14/2026,,561,1,top,0,0-0,LMU (CA) Lions,San Diego Toreros,LMU (CA) Lions,USD,0,1,1,3,hit_by_pitch,0,0,0,1,0,0,"Mhoon,Andrew hit by pitch (0-1 KB).",https://stats.ncaa.org/contests/6496434/play_by_play,6496434
05/14/2026,,561,1,top,1,0-0,LMU (CA) Lions,San Diego Toreros,LMU (CA) Lions,USD,0,1,0,3,other,0,0,0,0,0,0,"Williams,Zion flied out down the right field line putout by rf (0-0).",https://stats.ncaa.org/contests/6496434/play_by_play,6496434
05/14/2026,,561,1,top,1,2-0,LMU (CA) Lions,San Diego Toreros,LMU (CA) Lions,USD,0,1,1,3,single,1,0,0,0,0,0,"Wall,Jaxson singled down the right field line, 2RBI (1-2 FFFBF); Ghiorso,DJ scored; Wadas,Zach scored from second base; Mhoon,Andrew advanced from first base to third base.",https://stats.ncaa.org/contests/6496434/play_by_play,6496434
05/14/2026,,561,1,top,1,3-0,LMU (CA) Lions,San Diego Toreros,LMU (CA) Lions,USD,0,1,1,3,single,1,0,0,0,0,0,"Friend,Travis singled to left center, RBI (1-1 FB); Mhoon,Andrew scored; Wall,Jaxson advanced from first base to third base.",https://stats.ncaa.org/contests/6496434/play_by_play,6496434
05/14/2026,,561,1,top,2,3-0,LMU (CA) Lions,San Diego Toreros,LMU (CA) Lions,USD,0,1,0,3,other,0,0,0,0,1,0,"Moreno,Matt struck out swinging (0-2 SKS).",https://stats.ncaa.org/contests/6496434/play_by_play,6496434
05/14/2026,,561,1,top,3,3-0,LMU (CA) Lions,San Diego Toreros,LMU (CA) Lions,USD,0,1,0,3,other,0,0,0,0,0,0,"Wall,Jaxson out at third base, c to 3b, picked off.",https://stats.ncaa.org/contests/6496434/play_by_play,6496434
05/14/2026,,561,1,bot,1,3-0,San Diego Toreros,LMU (CA) Lions,USD,LMU (CA) Lions,0,1,0,5,other,0,0,0,0,1,0,"Moran,CJ struck out looking (2-2 BFFFBK).",https://stats.ncaa.org/contests/6496434/play_by_play,6496434
05/14/2026,,561,1,bot,1,3-0,San Diego Toreros,LMU (CA) Lions,USD,LMU (CA) Lions,0,1,1,5,hit_by_pitch,0,0,0,1,0,0,"Mestas,Gage hit by pitch (1-0 BB).",https://stats.ncaa.org/contests/6496434/play_by_play,6496434
05/14/2026,,561,1,bot,1,3-0,San Diego Toreros,LMU (CA) Lions,USD,LMU (CA) Lions,0,0,0,5,other,0,0,0,0,0,1,"Mestas,Gage advanced to second base on a throwing error by Johnson,Jonah (E1), on a failed pickoff attempt.",https://stats.ncaa.org/contests/6496434/play_by_play,6496434
05/14/2026,,561,1,bot,1,3-0,San Diego Toreros,LMU (CA) Lions,USD,LMU (CA) Lions,0,1,1,5,single,1,0,0,0,0,0,"Gauna,Andrew infield singled to the pitcher's mound (0-2 KF); Mestas,Gage advanced to third base.",https://stats.ncaa.org/contests/6496434/play_by_play,6496434
05/14/2026,,561,1,bot,1,3-1,San Diego Toreros,LMU (CA) Lions,USD,LMU (CA) Lions,0,1,1,5,double,2,0,0,0,0,0,"Lobliner,Jayden doubled to right field, RBI (0-2 FF); Mestas,Gage scored; Gauna,Andrew advanced from first base to third base.",https://stats.ncaa.org/contests/6496434/play_by_play,6496434
05/14/2026,,561,1,bot,1,3-2,San Diego Toreros,LMU (CA) Lions,USD,LMU (CA) Lions,0,1,1,5,single,1,0,0,0,0,0,"Gonzalez,Diego infield singled to third base, bunt, RBI (0-1 K); Gauna,Andrew scored; Lobliner,Jayden advanced to third base.",https://stats.ncaa.org/contests/6496434/play_by_play,6496434
05/14/2026,,561,1,bot,1,3-3,San Diego Toreros,LMU (CA) Lions,USD,LMU (CA) Lions,0,0,0,5,other,0,2,0,0,0,0,"Gonzalez,Diego stole second base; Lobliner,Jayden stole home, scored.",https://stats.ncaa.org/contests/6496434/play_by_play,6496434
05/14/2026,,561,1,bot,1,3-3,San Diego Toreros,LMU (CA) Lions,USD,LMU (CA) Lions,0,1,1,5,single,1,0,0,0,0,1,"Brant,Phoenix singled to right center (3-2 BSFBB); Gonzalez,Diego advanced to third base; Brant,Phoenix advanced to second base on play and a throwing error by Whitton,Cooper (E9).",https://stats.ncaa.org/contests/6496434/play_by_play,6496434
05/14/2026,,561,1,bot,1,3-4,San Diego Toreros,LMU (CA) Lions,USD,LMU (CA) Lions,0,1,1,5,single,1,0,0,0,0,0,"Greer,Jayton infield singled to second base, RBI (0-1 K); Gonzalez,Diego scored; Brant,Phoenix advanced to third base.",https://stats.ncaa.org/contests/6496434/play_by_play,6496434
05/14/2026,,561,1,bot,1,3-4,San Diego Toreros,LMU (CA) Lions,USD,LMU (CA) Lions,0,1,1,5,walk,0,0,1,0,0,0,"Venverloh,Vincent walked (3-2 BBFBFB); Greer,Jayton advanced to second base.",https://stats.ncaa.org/contests/6496434/play_by_play,6496434
05/14/2026,,561,1,bot,2,3-5,San Diego Toreros,LMU (CA) Lions,USD,LMU (CA) Lions,0,1,0,5,other,0,1,0,0,0,0,"Martinez,Cade sacrifice bunt to the pitcher, p to 1b, RBI (0-0); Brant,Phoenix scored; Greer,Jayton advanced to third base; Venverloh,Vincent advanced to second base.",https://stats.ncaa.org/contests/6496434/play_by_play,6496434
05/14/2026,,561,1,bot,3,3-5,San Diego Toreros,LMU (CA) Lions,USD,LMU (CA) Lions,0,1,0,5,other,0,0,0,0,0,0,"Moran,CJ grounded out to the right side of the infield, 2b to 1b (3-1 BFBB).",https://stats.ncaa.org/contests/6496434/play_by_play,6496434
05/14/2026,,561,2,top,0,3-5,LMU (CA) Lions,San Diego Toreros,LMU (CA) Lions,USD,1,1,1,2,single,1,0,0,0,0,0,"Whitton,Cooper singled to center field (1-2 KKFB).",https://stats.ncaa.org/contests/6496434/play_by_play,6496434
