game_date,location,attendance,inning,inning_top_bot,outs,score,batting,fielding,batting_team_norm,pitching_team_norm,inning_leadoff,is_pa,reached_base,runs_scored_half,event_category,total_bases,any_adv,is_walk,is_hbp,is_k,defensive_error,description,game_pbp_url,game_pbp_id
04/11/2026,,236,1,top,1,0-0,San Diego Toreros,San Francisco Dons,USD,San Francisco Dons,0,1,0,1,other,0,0,0,0,1,0,Moran struck out swinging.,https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,1,top,2,0-0,San Diego Toreros,San Francisco Dons,USD,San Francisco Dons,0,1,0,1,other,0,0,0,0,0,0,Brant grounded out to 2b.,https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,1,top,2,0-0,San Diego Toreros,San Francisco Dons,USD,San Francisco Dons,0,1,1,1,other,0,0,0,0,0,0,Gauna walked.,https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,1,top,2,0-0,San Diego Toreros,San Francisco Dons,USD,San Francisco Dons,0,1,1,1,single,1,0,0,0,0,0,Lobliner singled to third base3a Gauna advanced to third.,https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,1,top,2,1-0,San Diego Toreros,San Francisco Dons,USD,San Francisco Dons,0,0,0,1,other,0,2,0,0,0,0,Lobliner stole second3a Gauna stole home.,https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,1,top,3,1-0,San Diego Toreros,San Francisco Dons,USD,San Francisco Dons,0,1,0,1,other,0,0,0,0,0,0,Meidroth grounded out to ss.,https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,1,bot,1,1-0,San Francisco Dons,San Diego Toreros,San Francisco Dons,USD,0,1,0,0,other,0,0,0,0,0,0,ROGERS lined out to lf to left center.,https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,1,bot,2,1-0,San Francisco Dons,San Diego Toreros,San Francisco Dons,USD,0,1,0,0,other,0,0,0,0,0,0,JA LEWIS grounded out to 2b.,https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,1,bot,3,1-0,San Francisco Dons,San Diego Toreros,San Francisco Dons,USD,0,1,0,0,other,0,0,0,0,0,0,NYSTROM lined out to cf.,https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,2,top,0,1-0,San Diego Toreros,San Francisco Dons,USD,San Francisco Dons,1,1,1,0,other,0,0,0,0,0,0,Springer walked.,https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,2,top,1,1-0,San Diego Toreros,San Francisco Dons,USD,San Francisco Dons,0,1,0,0,other,0,0,0,0,0,0,Martinez popped up to 2b to right field.,https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,2,top,2,1-0,San Diego Toreros,San Francisco Dons,USD,San Francisco Dons,0,1,1,0,other,0,0,0,0,0,0,GonzalezD reached on a fielder's choice to third base3a Springer out at second 3b to 2b.,https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,2,top,3,1-0,San Diego Toreros,San Francisco Dons,USD,San Francisco Dons,0,1,0,0,other,0,0,0,0,0,0,"GonzalezD out at second c to ss, caught stealing.",https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,2,bot,0,1-0,San Francisco Dons,San Diego Toreros,San Francisco Dons,USD,1,1,1,0,single,1,0,0,0,0,0,HARMON singled through the right side.,https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,2,bot,1,1-0,San Francisco Dons,San Diego Toreros,San Francisco Dons,USD,0,1,0,0,other,0,0,0,0,1,0,ESQUIVEL struck out swinging.,https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,2,bot,2,1-0,San Francisco Dons,San Diego Toreros,San Francisco Dons,USD,0,1,0,0,other,0,0,0,0,1,0,BURKE struck out looking.,https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,2,bot,3,1-0,San Francisco Dons,San Diego Toreros,San Francisco Dons,USD,0,1,0,0,other,0,0,0,0,1,0,VASELL struck out looking.,https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,3,top,0,1-0,San Diego Toreros,San Francisco Dons,USD,San Francisco Dons,1,1,1,2,hit_by_pitch,0,0,0,1,0,0,Mestas hit by pitch.,https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,3,top,0,1-0,San Diego Toreros,San Francisco Dons,USD,San Francisco Dons,0,1,1,2,double,2,0,0,0,0,0,Moran doubled to right center3a Mestas advanced to third.,https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,3,top,1,1-0,San Diego Toreros,San Francisco Dons,USD,San Francisco Dons,0,1,0,2,other,0,0,0,0,1,0,Brant struck out looking.,https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,3,top,1,3-0,San Diego Toreros,San Francisco Dons,USD,San Francisco Dons,0,1,1,2,double,2,0,0,0,0,0,"Gauna doubled to left center, 2 RBI3a Moran scored3a Mestas scored.",https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,3,top,1,3-0,San Diego Toreros,San Francisco Dons,USD,San Francisco Dons,0,1,1,2,other,0,0,0,0,0,0,Lobliner walked.,https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,3,top,2,3-0,San Diego Toreros,San Francisco Dons,USD,San Francisco Dons,0,1,0,2,other,0,0,0,0,0,0,Meidroth grounded out to 3b3a Lobliner advanced to second3a Gauna advanced to third.,https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,3,top,2,3-0,San Diego Toreros,San Francisco Dons,USD,San Francisco Dons,0,1,1,2,other,0,0,0,0,0,0,Springer walked.,https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,3,top,3,3-0,San Diego Toreros,San Francisco Dons,USD,San Francisco Dons,0,1,0,2,other,0,0,0,0,0,0,Martinez grounded out to 3b.,https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,3,bot,0,3-0,San Francisco Dons,San Diego Toreros,San Francisco Dons,USD,1,1,1,4,other,0,0,0,0,0,0,GARRISON walked.,https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,3,bot,1,3-0,San Francisco Dons,San Diego Toreros,San Francisco Dons,USD,0,1,0,4,other,0,0,0,0,1,0,LANDRY struck out swinging.,https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,3,bot,1,3-0,San Francisco Dons,San Diego Toreros,San Francisco Dons,USD,0,1,1,4,other,0,0,0,0,0,0,ROGERS walked3a GARRISON advanced to second.,https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,3,bot,1,3-0,San Francisco Dons,San Diego Toreros,San Francisco Dons,USD,0,1,1,4,other,0,0,0,0,0,0,JA LEWIS walked3a ROGERS advanced to second3a GARRISON advanced to third.,https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,3,bot,1,3-4,San Francisco Dons,San Diego Toreros,San Francisco Dons,USD,0,1,1,4,home_run,4,0,0,0,0,0,"NYSTROM homered to left field, 4 RBI3a JA LEWIS scored3a ROGERS scored3a GARRISON scored.",https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,3,bot,2,3-4,San Francisco Dons,San Diego Toreros,San Francisco Dons,USD,0,1,0,4,other,0,0,0,0,1,0,"HARMON struck out looking, out at first c to 1b.",https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,3,bot,3,3-4,San Francisco Dons,San Diego Toreros,San Francisco Dons,USD,0,1,0,4,other,0,0,0,0,0,0,ESQUIVEL flied out to lf.,https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,4,top,1,3-4,San Diego Toreros,San Francisco Dons,USD,San Francisco Dons,0,1,0,0,other,0,0,0,0,0,0,GonzalezD popped up to ss to left center.,https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,4,top,2,3-4,San Diego Toreros,San Francisco Dons,USD,San Francisco Dons,0,1,0,0,other,0,0,0,0,1,0,Mestas struck out looking.,https://stats.ncaa.org/contests/6522573/play_by_play,6522573
04/11/2026,,236,4,top,3,3-4,San Diego Toreros,San Francisco Dons,USD,San Francisco Dons,0,1,0,0,other,0,0,0,0,1,0,Moran struck out swinging.,https://stats.ncaa.org/contests/6522573/play_by_play,6522573
