game_date,location,attendance,inning,inning_top_bot,outs,score,batting,fielding,batting_team_norm,pitching_team_norm,inning_leadoff,is_pa,reached_base,runs_scored_half,event_category,total_bases,any_adv,is_walk,is_hbp,is_k,defensive_error,description,game_pbp_url,game_pbp_id
05/15/2026,,935,1,top,0,0-0,LMU (CA) Lions,San Diego Toreros,LMU (CA) Lions,USD,1,1,1,0,walk,0,0,1,0,0,0,"Ghiorso,DJ walked (3-2 BKFBBB).",https://stats.ncaa.org/contests/6496436/play_by_play,6496436
05/15/2026,,935,1,top,1,0-0,LMU (CA) Lions,San Diego Toreros,LMU (CA) Lions,USD,0,1,0,0,other,0,0,0,0,1,0,"Mhoon,Andrew struck out swinging (1-2 KBKS).",https://stats.ncaa.org/contests/6496436/play_by_play,6496436
05/15/2026,,935,1,top,2,0-0,LMU (CA) Lions,San Diego Toreros,LMU (CA) Lions,USD,0,1,0,0,other,0,0,0,0,0,0,"Williams,Zion flied out to cf (0-0).",https://stats.ncaa.org/contests/6496436/play_by_play,6496436
05/15/2026,,935,1,top,3,0-0,LMU (CA) Lions,San Diego Toreros,LMU (CA) Lions,USD,0,1,0,0,other,0,0,0,0,0,0,"Ghiorso,DJ out caught stealing at second base, c to ss.",https://stats.ncaa.org/contests/6496436/play_by_play,6496436
05/15/2026,,935,1,bot,1,0-0,San Diego Toreros,LMU (CA) Lions,USD,LMU (CA) Lions,0,1,0,0,other,0,0,0,0,0,0,"Moran,CJ grounded out to the catcher, c to 1b (0-2 KF).",https://stats.ncaa.org/contests/6496436/play_by_play,6496436
05/15/2026,,935,1,bot,1,0-0,San Diego Toreros,LMU (CA) Lions,USD,LMU (CA) Lions,0,1,1,0,single,1,0,0,0,0,0,"Mestas,Gage infield singled to second base (2-2 BKBS).",https://stats.ncaa.org/contests/6496436/play_by_play,6496436
05/15/2026,,935,1,bot,2,0-0,San Diego Toreros,LMU (CA) Lions,USD,LMU (CA) Lions,0,1,0,0,other,0,0,0,0,0,0,"Gauna,Andrew popped up to shallow right field putout by 2b (0-0).",https://stats.ncaa.org/contests/6496436/play_by_play,6496436
05/15/2026,,935,1,bot,3,0-0,San Diego Toreros,LMU (CA) Lions,USD,LMU (CA) Lions,0,1,0,0,other,0,0,0,0,0,0,"Mestas,Gage out caught stealing at second base, c to 2b.",https://stats.ncaa.org/contests/6496436/play_by_play,6496436
05/15/2026,,935,2,top,0,0-0,LMU (CA) Lions,San Diego Toreros,LMU (CA) Lions,USD,1,1,1,0,double,2,0,0,0,0,0,"Wadas,Zach doubled to right center (3-2 FBKBBF).",https://stats.ncaa.org/contests/6496436/play_by_play,6496436
05/15/2026,,935,2,top,1,0-0,LMU (CA) Lions,San Diego Toreros,LMU (CA) Lions,USD,0,1,0,0,other,0,0,0,0,0,0,"Klosek,Richie grounded out up the middle, ss to 1b (0-0); Wadas,Zach advanced to third base.",https://stats.ncaa.org/contests/6496436/play_by_play,6496436
05/15/2026,,935,2,top,1,0-0,LMU (CA) Lions,San Diego Toreros,LMU (CA) Lions,USD,0,1,1,0,hit_by_pitch,0,0,0,1,0,0,"Friend,Travis hit by pitch (0-0 B).",https://stats.ncaa.org/contests/6496436/play_by_play,6496436
05/15/2026,,935,2,top,2,0-0,LMU (CA) Lions,San Diego Toreros,LMU (CA) Lions,USD,0,1,0,0,other,0,0,0,0,1,0,"Whitton,Cooper struck out looking (2-2 FBKBK).",https://stats.ncaa.org/contests/6496436/play_by_play,6496436
05/15/2026,,935,2,top,2,0-0,LMU (CA) Lions,San Diego Toreros,LMU (CA) Lions,USD,0,0,0,0,other,0,1,0,0,0,0,"Friend,Travis stole second base.",https://stats.ncaa.org/contests/6496436/play_by_play,6496436
05/15/2026,,935,2,top,3,0-0,LMU (CA) Lions,San Diego Toreros,LMU (CA) Lions,USD,0,1,0,0,other,0,0,0,0,1,0,"Moreno,Matt struck out swinging (3-2 KBSBFBFFS).",https://stats.ncaa.org/contests/6496436/play_by_play,6496436
05/15/2026,,935,2,bot,1,0-0,San Diego Toreros,LMU (CA) Lions,USD,LMU (CA) Lions,0,1,0,2,other,0,0,0,0,1,0,"Lobliner,Jayden struck out swinging on dropped third strike, out at first c to 1b (1-2 FFBFS).",https://stats.ncaa.org/contests/6496436/play_by_play,6496436
05/15/2026,,935,2,bot,1,0-0,San Diego Toreros,LMU (CA) Lions,USD,LMU (CA) Lions,0,1,1,2,double,2,0,0,0,0,0,"Greer,Jayton doubled to left center (0-0).",https://stats.ncaa.org/contests/6496436/play_by_play,6496436
05/15/2026,,935,2,bot,1,0-0,San Diego Toreros,LMU (CA) Lions,USD,LMU (CA) Lions,0,1,1,2,walk,0,0,1,0,0,0,"Gonzalez,Diego walked (3-0 BBBB).",https://stats.ncaa.org/contests/6496436/play_by_play,6496436
