player_id,player,team,season,height_in,class_year,bats,throws,hometown_city,hometown_state,high_school
34960,Tanner Marek,Texas Southern,2026,,So.,,,,,
34961,Quinton Jefferson,Texas Southern,2026,,Fr.,,,Spring,TX,Klein Collins High School
35027,Wells Twining,UMBC,2026,78,Fr.,,,Bethesda,MD,Walt Whitman High School
35029,Anthony Blackford,UMBC,2026,74,Fr.,,,Woodcliff Lake,NJ,Pascack Hills High School
35031,Grant Teschendorf,UMBC,2026,75,Jr.,RIGHT,RIGHT,Harrison Township,MI,Jackson CC
34998,Ty Corey,St. Bonaventure,2026,74,Fr.,LEFT,LEFT,Pennellville,NY,John C Birdlebough High School
34900,Marek Bolson,Kent State,2026,74,Fr.,LEFT,RIGHT,Oconomowoc,WI,Oconomowoc High School
34802,Michael Clemente,Wofford,2026,79,Fr.,RIGHT,RIGHT,Waxhaw,NC,Cuthbertson High School
14128,Sebastion Edwards,Central Arkansas,2026,74,Jr.,RIGHT,RIGHT,Lincoln,CA,Lincoln
34915,Andrew Zottar,Central Arkansas,2026,70,Fr.,LEFT,LEFT,Morganville,NJ,Saint John Vianney High Sch
14634,Aidan Lenzen,Florida International,2026,75,Sr.,RIGHT,RIGHT,Winter Garden,FL,Bishop Moore Catholic
35008,Taggert Cameron,Florida International,2026,76,Fr.,RIGHT,RIGHT,Vero Beach,FL,John Carroll High School
17615,Jonny Gilligan,Saint Peter's,2026,70,Jr.,RIGHT,RIGHT,Wayne,NJ,Passaic County Technical Institute
34716,Jace Gilligan,Saint Peter's,2026,70,Jr.,RIGHT,RIGHT,Wayne,NJ,Passaic County Technical Institute
34977,Kaden Cloward,Nicholls,2026,75,Sr.,RIGHT,RIGHT,Salem,UT,Spanish Fork
34916,Toby Peterson,Kentucky,2026,,Fr.,,,Palatine,IL,Palatine High School
34543,Rex Smith,VCU,2026,73,Jr.,LEFT,RIGHT,Sarasota,FL,Sarasota High School
34874,Graham Hylton,VCU,2026,73,Jr.,RIGHT,LEFT,Mustang,OK,Mustang High School
34551,Casey Leavitt-McGee,CSU Bakersfield,2026,,Jr.,LEFT,LEFT,San Francisco,CA,
35003,Davis Goodwin,CSU Bakersfield,2026,73,Fr.,RIGHT,RIGHT,Bakersfield,CA,Liberty HS
34972,Kelvin Battles II,Prairie View,2026,72,Jr.,RIGHT,RIGHT,Alexander,AR,Sylvan Hills High School
34588,Caden Marcum,Ohio State,2026,78,Jr.,RIGHT,RIGHT,Paola,KS,Paola High School
34982,Haven Fielder,Ohio State,2026,74,Fr.,RIGHT,RIGHT,Windermere,FL,Grade Power Learning: Ocoee
34644,Will Hill,Texas,2026,70,Fr.,RIGHT,RIGHT,Humble,TX,Summer Creek
35047,Grady Westphal,Texas,2026,74,Fr.,RIGHT,RIGHT,Leawood,KS,Blue Valley High School
34774,Jake Lodgek,Miami,2026,73,Fr.,RIGHT,RIGHT,Linwood,NJ,Mainland Regional High School
34775,Lonzo Drummond,Miami,2026,74,Fr.,BOTH,LEFT,Winter Garden,FL,Florida Virtual School (aka Flvs Flex)
34924,Carter Boos,Omaha,2026,71,So.,RIGHT,RIGHT,Duluth,MN,
34858,Noah Bourgeois,Southeast Missouri,2026,73,Jr.,RIGHT,RIGHT,Surrey,Canada,
35005,Jack Gallo,Southeast Missouri,2026,73,Fr.,RIGHT,RIGHT,Laguna Beach,CA,Capistrano Valley Chrstn Sch
34864,Austin Matranga,Grand Canyon,2026,67,Jr.,LEFT,RIGHT,Surprise,AZ,Shadow Ridge
35044,Andrew Cohen,Grand Canyon,2026,75,Fr.,RIGHT,RIGHT,Studio City,CA,Loyola
34878,Josh Toole,Coastal Carolina,2026,72,Fr.,RIGHT,RIGHT,Mount Joy,PA,Hempfield High School
34956,Dalton Bisbano,Coastal Carolina,2026,73,Fr.,LEFT,LEFT,Summerville,SC,The South Carolina Preparatory Academy
34881,David An,UT Arlington,2026,,Fr.,,LEFT,Mcallen,TX,Robert Vela High School
35052,Brayden Simmons,UT Arlington,2026,74,Jr.,LEFT,RIGHT,Keller,TX,
34891,Patrick Mazur,Marshall,2026,74,So.,RIGHT,LEFT,Indianapolis,IN,
34923,Cam Harthan,Marshall,2026,72,Sr.,LEFT,LEFT,Cumberland,RI,Cumberland High School
34899,Richard De Jesus,UMES,2026,71,Fr.,RIGHT,RIGHT,Santa Isabel,PR,Bernardino Cordero Bernard
35023,Fernando Ferrer Jr.,UMES,2026,75,Fr.,RIGHT,RIGHT,Kissimmee,FL,Tohopekaliga High School
34926,Carter Krawchuk,USF,2026,73,Jr.,RIGHT,RIGHT,,,
34914,Cam Ringler,Arkansas-Pine Bluff,2026,,Sr.,,,,,
34953,Taiowa Costello,Arkansas-Pine Bluff,2026,,Jr.,,,,,
34931,Charlie Buckles,Florida State,2026,78,Fr.,LEFT,LEFT,Bethesda,MD,Walt Whitman High School
35018,Mookie Rodriguez,Florida State,2026,71,Fr.,LEFT,RIGHT,Dover,FL,Lakeland Christian School
34964,Austin Coyle,Little Rock,2026,73,Jr.,RIGHT,RIGHT,Kamloops,Canada,British Columbia Schools
34970,Luis Castillo,Little Rock,2026,76,So.,RIGHT,RIGHT,Talbott,TN,Lakeway Christian Academy
34975,Jaisen Abner,Seattle,2026,68,So.,RIGHT,RIGHT,Seattle,WA,O'Dea
35020,Alex Chamberlain,Seattle,2026,75,Jr.,RIGHT,RIGHT,Fall City,WA,Mount SI High School
34983,Hector Arellano,Houston,2026,71,Fr.,LEFT,LEFT,Brownsville,TX,Lopez High School
35000,Mikey Vanderheyden,Houston,2026,73,Fr.,RIGHT,RIGHT,Enterprise,AL,Enterprise High School
34995,TL Saxon,Georgia,2026,76,Jr.,RIGHT,RIGHT,Watkinsville,GA,Oconee County
35014,Luke Wiltrakis,Georgia,2026,75,So.,RIGHT,RIGHT,Sandy Springs,GA,St. Pius X
34999,Cade Sears,Vanderbilt,2026,73,So.,LEFT,LEFT,,,
35011,Carson Quillen,Vanderbilt,2026,71,Fr.,RIGHT,RIGHT,,,
35001,Yenli Nolasco,Georgia State,2026,75,Fr.,RIGHT,RIGHT,Dallas,GA,North Paulding High School
35035,Wilmer Martinez,Georgia State,2026,69,Fr.,BOTH,RIGHT,Thomasville,NC,Ledford High School
35054,Jayden Blalack,Dallas Baptist,2026,71,Fr.,RIGHT,RIGHT,Richmond,TX,William B Travis High School
35059,Miles Williams,Dallas Baptist,2026,73,Fr.,RIGHT,RIGHT,Magnolia,TX,Second Baptist School
660,SAMUEL FORMUS,Cedarville,2025,73,So.,LEFT,LEFT,Stafford Springs,CT,Stafford
3630,SAMUEL GETTINGER,Stonehill,2025,74,Fr.,RIGHT,RIGHT,Woodbridge,CT,Amity Regional
4395,ALEXANDER ROSARIO,Winthrop,2026,73,Sr.,RIGHT,RIGHT,New York,NY,The Gunnery
6246,Jaxon Pridgen,Tennessee Tech,2026,74,So.,RIGHT,RIGHT,Murfreesboro,TN,Riverdale HS
8473,Myles Dismute,Southern,2026,,Jr.,RIGHT,RIGHT,Long Beach,CA,Woodrow Wilson High School
9910,Blane Zeplin,Stephen F. Austin,2025,76,Jr.,RIGHT,RIGHT,Victoria,TX,
13468,Adison Mattix,Akron,2026,75,Jr.,,,Edmonds,WA,Mountlake Terrace HS
13680,Cowan Alfonso,Louisiana,2026,75,Jr.,RIGHT,RIGHT,Thibodaux,LA,Denham Springs
14931,Landen Parker,NJIT,2026,70,So.,,,Burlington,NC,The Burlington School
34549,Dimaggio Lonero,North Alabama,2026,71,Fr.,RIGHT,RIGHT,Canonsburg,PA,
34569,Kobe Minchey,Tarleton State,2026,76,Jr.,RIGHT,RIGHT,Jarrell,TX,Homeschool
34605,Matt Hanneman,Bradley,2026,,Sr.,,,White Lake,MI,Lakeland High School
34662,Austin O'Hara,George Mason,2026,70,Fr.,RIGHT,RIGHT,Ponte Vedra Beach,FL,Episcopal Schl Jacksonville
34736,Avery Shiflett,Kennesaw State,2026,76,Fr.,LEFT,LEFT,Cartersville,GA,Cartersville HS
34806,Jaden Schmidt,Albany,2026,71,Fr.,RIGHT,RIGHT,Islip Terrace,NY,East Islip High School
34822,Jonny Garber,Arizona State,2025,72,Jr.,RIGHT,RIGHT,Phoenix,AZ,Pinnacle
34825,Jack Ghufran,San Jose State,2025,72,Fr.,RIGHT,RIGHT,Granite Bay,CA,Granite Bay HS
34859,Braedon Davis,Youngstown State,2026,75,Jr.,RIGHT,RIGHT,Woodinville,WA,Redmond
34861,Kiernan O'Neill,UCF,2026,70,Fr.,RIGHT,RIGHT,Coconut Creek,FL,North Broward School
34862,Koa Won,Hawaii,2026,74,Fr.,RIGHT,RIGHT,Henderson,NV,Basic HS
34865,Louis Hill,Oral Roberts,2026,76,Fr.,RIGHT,RIGHT,Pineville,NC,South Meckleburg HS
34868,Nate Wochner,BYU,2026,76,Fr.,RIGHT,RIGHT,Arvada,CO,Broomfield
34871,Aiden Pavoris,Illinois-Chicago,2026,73,Sr.,RIGHT,RIGHT,Algonquin,IL,Huntley
34872,Drew Martin,Sacred Heart,2026,70,Jr.,LEFT,RIGHT,Brookfield,CT,Brookfield
34882,Jackson Roper,Wake Forest,2026,69,Fr.,RIGHT,RIGHT,Orange Park,FL,A3 Academy
