fit,player,role,position,division,from_school,to_school,class_year,eligibility_remaining,height_in,weight_lb,status,ca_tie,sd_tie,socal_tie,hometown_city,hometown_state,high_school,ca_tie_reasons,hit,power,need,perf_pct,level_factor,likelihood,team,pa,ba,obp,slg,xwoba,xslg,avg_ev,decision_value,hr,ip,fip,k_bb,perceived_value,t2_stuff,inzone_whiff_pct,xwhiff_pct,priority,contact,scout_notes
69.7,Kade Bing,pitcher,P,,Texas,,JR,1,73.0,195.0,ENTERED,0,0,0,West,TX,West,,,,Weekend starter,0.741,1.0,15.8,Texas,,,,,,,,,,40.0,3.7,2.56,108.5,99.4,,,,,
69.7,Joseph Jasso,pitcher,P,,Cal State Fullerton,,JR,1,75.0,200.0,ENTERED,1,0,1,South Gate,CA,South East High School,hometown=CA;hometown=South Gate (SoCal),,,Weekend starter,0.787,0.72,32.4,Cal State Fullerton,,,,,,,,,,73.0,3.37,2.2,101.3,114.4,,,,,
69.7,Joseph Lee,pitcher,P,,Samford,,SR,1,78.0,215.0,ENTERED,1,0,0,San Jose,CA,,hometown=CA,,,Weekend starter,0.811,0.7,25.0,Samford,,,,,,,,,,11.2,6.18,1.25,101.6,106.8,,,,,
69.7,Riley Fisher,pitcher,P,,Louisiana Tech,,JR,1,74.0,210.0,ENTERED,0,0,0,Brooksville,FL,Hernando High School,,,,Weekend starter,0.833,0.7,13.0,Louisiana Tech,,,,,,,,,,,,,110.2,106.1,,,,,
69.7,Aaron Parker,hitter,C,,Grand Canyon,,FR,3,69.0,170.0,ENTERED,1,0,0,Los Altos,CA,Los Altos HS,hometown=CA,59.5,69.3,,0.922,0.7,23.5,UC Santa Barbara,,0.362,,,0.433,,95.3,,,,,,,,,,,,
69.6,Adison Mattix,pitcher,P,I,Akron,,JR,1,,,ENTERED,0,0,0,,,,,,,Weekend starter,0.858,0.72,15.5,Everett CC,,,,,,,,,,56.2,2.54,2.88,0.373,,,,,,
69.5,GRANT EDWARDS,pitcher,P,I,West Georgia,,JR,1,71.0,200.0,ENTERED,0,0,0,Macon,GA,Academy Classical Education,,,,Weekend starter,0.845,1.0,14.6,New Orleans,,,,,,,,,,76.2,3.11,3.17,105.8,104.8,,,3.0,,
69.4,Sam Garewal,pitcher,P,I,Stanford,,SR,1,77.0,243.0,ENTERED,1,1,1,San Diego,CA,Canyon Crest Academy,hometown=CA;hometown=San Diego (SD County);prev_school=CA,,,Weekend starter,0.768,1.0,40.0,Stanford,,,,,,,,,,26.1,6.06,2.25,114.6,101.8,,,,,
69.4,Tyler Stone,hitter,P,,Virginia Tech,,FR,3,75.0,205.0,ENTERED,0,0,0,Scottsdale,AZ,Cheshire Academy,,53.1,63.9,Weekend starter,0.809,0.7,13.7,Nebraska,,0.294,,,0.387,,92.8,,,,,,,,,,,,
69.1,CHARLIE LARDI,pitcher,P,III,Southern Illinois,,JR,1,70.0,160.0,ENTERED,0,0,0,Galesburg,IL,Galesburg HS,,,,Weekend starter,0.855,0.58,16.8,Illinois College,,,,,,,,,,61.1,2.51,2.83,0.3745,,,,1.0,,
69.1,Mason Eckelman,hitter,C,,Ohio State,,SO,2,73.0,220.0,ENTERED,0,0,0,Broadview Heights,OH,Walsh Jesuit,,62.9,57.3,,0.81,0.7,13.7,Ohio State,,0.325,,,0.443,,88.2,,,,,,,,,,,,
69.0,Angel Laya,hitter,RF,,Oregon,,FR,3,75.0,206.0,ENTERED,1,1,1,San Diego,CA,Eastlake High School,hometown=CA;hometown=San Diego (SD County),62.0,59.1,,0.835,0.7,38.0,Oregon,,0.322,,,0.423,,89.7,,,,,,,,,,,,
69.0,Cooper Lanz,pitcher,P,,Santa Clara,,SR,1,72.0,190.0,ENTERED,1,0,0,Atwater,CA,Buhach Colony HS,hometown=CA;prev_school=CA,,,Weekend starter,0.854,0.7,22.4,Santa Clara,,,,,,,,,,36.0,6.04,1.65,106.9,108.2,,,,,
68.7,Adrian Lopez,hitter,1B,,USC,,JR,1,76.0,210.0,ENTERED,1,0,1,Baldwin Park,CA,Ganesha HS,hometown=CA;hometown=Baldwin Park (SoCal);prev_school=CA,56.8,56.7,,0.764,0.7,33.1,USC,,0.299,,,0.408,,89.2,,,,,,,,,,,,
68.6,Payton Brennan,hitter,RF,,UCLA,,JR,1,75.0,215.0,ENTERED,1,0,0,Rocklin,CA,Rocklin HS,hometown=CA;prev_school=CA,54.7,62.9,,0.761,0.7,25.2,UCLA,,0.296,,,0.385,,89.7,,,,,,,,,,,,
68.3,Cameron Johnson,pitcher,P,,Oklahoma,,JR,1,78.0,256.0,ENTERED,0,0,0,Upper Marlboro,MD,TNXL Academy,,,,Weekend starter,0.702,0.7,17.0,UNC Asheville,,0.236,,,0.358,,89.4,,,7.0,7.18,1.0,92.9,102.5,,,,,
68.0,Brandon Stone,pitcher,P,,South Carolina,,JR,1,78.0,240.0,ENTERED,0,0,0,Shawnee Mission,KS,Shawnee Mission West,,,,Weekend starter,0.694,0.7,17.2,South Carolina,,,,,,,,,,68.2,,3.11,124.5,96.9,,,,,
67.9,Augie Lopez,hitter,DH,,USC,,SO,2,73.0,185.0,ENTERED,1,0,0,Hermosa Beach,CA,Loyola HS,hometown=CA;prev_school=CA,51.9,54.8,,0.778,0.7,24.7,USC,,0.27,,,0.392,,89.7,,,,,,,,,,,,
67.8,Jack Messmore,pitcher,P,,Youngstown State,,SR,1,73.0,215.0,ENTERED,0,0,0,Niceville,FL,Niceville,,,,Weekend starter,0.78,0.7,18.4,Youngstown State,,0.5,,,0.551,,80.9,,,18.0,6.84,1.0,106.9,103.7,,,,,
67.7,Case Bosch,pitcher,P,I,Coastal Carolina,,FR,3,77.0,225.0,ENTERED,0,0,0,Grandville,MI,Jenison Innovation Academy,,,,Weekend starter,0.8,1.0,14.0,Coastal Carolina,,,,,,,,,,,,,105.8,105.1,,,,,
67.6,EVAN MCCARTHY,pitcher,INF,II,Southern Indiana,,SR,1,71.0,205.0,ENTERED,0,0,0,Saltillo,MS,Saltillo,,,,,0.778,0.8,19.1,Assumption College,,,,,,,,,,62.1,3.53,3.82,0.3235,,,,1.0,,
67.6,Lathan Haywood,pitcher,P,I,Stetson,,JR,1,72.0,200.0,ENTERED,0,0,0,Bremerton,WA,Olympic High School,,,,Weekend starter,0.793,0.72,16.1,Stetson,,,,,,,,,,73.1,3.41,2.57,101.5,99.5,,,,,
67.6,Jett Kenady,hitter,SS,,California,,FR,3,74.0,185.0,ENTERED,1,1,1,Carlsbad,CA,Silicon Valley High School,hometown=CA;hometown=Carlsbad (SD County);prev_school=CA,50.1,63.6,Everyday SS,0.761,0.7,40.2,California,,0.308,,,0.375,,89.8,,,,,,,,,,,,
67.6,Cullen Condon,pitcher,P,,Wofford,,SO,2,70.0,170.0,ENTERED,0,0,0,Manasquan,NJ,Manasquan,,,,Weekend starter,0.822,0.7,14.6,Wofford,,,,,,,,,,43.2,5.56,1.8,97.6,108.7,,,,,
67.6,Erik Rodriguez,pitcher,P,,Washington State,,JR,1,75.0,190.0,ENTERED,1,0,1,Moreno Valley,CA,Yucaipa Senior High School,hometown=CA;hometown=Moreno Valley (SoCal),,,Weekend starter,0.733,0.72,34.0,Washington State,,,,,,,,,,66.0,2.56,5.2,91.9,85.9,,,,,
