fit,player,role,position,division,from_school,to_school,class_year,eligibility_remaining,height_in,weight_lb,status,ca_tie,sd_tie,socal_tie,hometown_city,hometown_state,high_school,ca_tie_reasons,hit,power,need,perf_pct,level_factor,likelihood,team,pa,ba,obp,slg,xwoba,xslg,avg_ev,decision_value,hr,ip,fip,k_bb,perceived_value,t2_stuff,inzone_whiff_pct,xwhiff_pct,priority,contact,scout_notes
64.7,Ryan King,hitter,P,,CSU Bakersfield,,SO,2,69.0,181.0,ENTERED,1,0,0,Bernardsville,NJ,St. Peter's Prep,prev_school=CA,61.8,53.1,Weekend starter,0.699,0.7,27.0,Rhode Island,,0.361,,,0.385,,85.5,,,69.2,4.07,2.48,97.6,93.2,,,,,
64.6,Nick Barron,hitter,1B,,Northwestern,,FR,3,75.0,215.0,ENTERED,0,0,0,Acton,MA,IMG Academy,,56.6,53.7,,0.716,0.7,16.5,Northwestern,,0.304,,,0.391,,89.1,,,,,,,,,,,,
64.6,Isaiah Shayter,pitcher,P,,Penn State,,FR,3,74.0,190.0,ENTERED,0,0,0,Elizabethtown,PA,Elizabethtown Area,,,,Weekend starter,0.715,0.7,16.5,Penn State,,,,,,,,,,,,,100.8,101.5,,,,,
64.6,Brant Baughcum,hitter,3B,I,Mercer,,SR,1,74.0,210.0,ENTERED,0,0,0,Buford,GA,Buford,,59.0,52.2,,0.672,1.0,19.1,Mercer,,0.31,,,0.38,,87.4,,,,,,,,,,,,
64.6,Marcos Paz,pitcher,P,,LSU,,FR,3,74.0,228.0,ENTERED,0,0,0,Carrollton,TX,Hebron HS,,,,Weekend starter,0.807,0.7,13.8,LSU,,,,,,,,,,,,,93.8,108.7,,,,,
64.5,Miles Curley,hitter,DH,,New Orleans,,JR,1,73.0,215.0,ENTERED,0,0,0,Largo,FL,Calvary Christian,,55.2,60.4,,0.862,0.7,15.3,New Orleans,,0.306,,,0.42,,91.2,,,,,,,,,,,,
64.5,ANDREW EVANS,pitcher,P,I,Southern Illinois,,SR,1,77.0,225.0,ENTERED,0,0,0,Olathe,KS,Olathe West,,,,Weekend starter,0.694,1.0,21.7,Southern Illinois,,,,,,,,,,,,,116.3,97.3,,,0.0,,
64.4,EDWIN ALICEA,pitcher,P,II,USF,,JR,1,78.0,240.0,ENTERED,0,0,0,Miami,FL,Florida Christian,,,,Weekend starter,0.663,0.8,18.1,USF,,,,,,,,,,72.1,,2.14,107.4,96.8,,,3.0,Text,
64.4,RYLAND BOZENHARD,pitcher,P,I,South Alabama,,JR,1,72.0,215.0,ENTERED,0,0,0,Seminole,FL,Dixie Hollins HS,,,,Weekend starter,0.647,1.0,18.6,South Alabama,,,,,,,,,,56.2,3.94,1.58,97.3,98.5,,,,,
64.4,Dylan Richardson,pitcher,P,,South Dakota State,,JR,1,75.0,230.0,ENTERED,0,0,0,Vancouver,WA,Union High School,,,,Weekend starter,0.727,0.72,20.7,South Dakota State,,,,,,,,,,42.2,3.72,2.05,92.2,89.2,,,,,
64.3,Jackson Hulcher,pitcher,P,I,Delaware,,JR,1,75.0,190.0,ENTERED,0,0,0,Ashburn,VA,Broad Run High School,,,,Weekend starter,0.726,1.0,16.9,Delaware,,,,,,,,,,,,,103.9,101.3,,,,,
64.2,JOSHUA MARTINEZ,pitcher,P,II,UC Riverside,,JR,1,73.0,185.0,ENTERED,1,0,1,Menifee,CA,Heritage HS,hometown=CA;hometown=Menifee (SoCal);prev_school=CA,,,Weekend starter,0.636,1.0,36.9,Hawaii,,0.25,,,0.342,,85.7,,,58.0,4.3,2.11,97.5,98.7,,,0.0,,
64.2,Greg Shaw,pitcher,P,,Connecticut,,SR,1,75.0,227.0,ENTERED,0,0,0,Cornwall On Hudson,NY,Cornwall Central,,,,Weekend starter,0.647,1.0,18.6,Connecticut,,,,,,,,,,54.2,4.68,1.87,105.3,84.1,,,,,
64.2,Gavin Hawkes,pitcher,P,I,Rider,,SR,1,70.0,190.0,ENTERED,0,0,0,Yardley,PA,Pennsbury,,,,Weekend starter,0.725,1.0,21.4,Rider,,,,,,,,,,38.1,3.18,2.42,85.2,80.3,,,,,
63.9,James Wilson,pitcher,P,I,Jacksonville State,,JR,1,76.0,225.0,ENTERED,0,0,0,Toronto,Canada,,,,,Weekend starter,0.652,1.0,18.4,Jacksonville State,,,,,,,,,,47.1,5.31,1.58,85.5,82.7,,,,,
63.8,Robert Orr,hitter,SS,,Pacific,,SO,2,75.0,200.0,ENTERED,0,0,0,Vancouver,BC,St. George's School,,54.2,59.4,Everyday SS,0.711,0.7,16.7,Pacific,,0.313,,,0.379,,87.6,,,3.0,3.18,3.0,0.841,79.60011089,0.167,,,,
63.8,Bradley Stewart,pitcher,P,,Georgia,,SO,2,75.0,228.0,ENTERED,0,0,0,Fort Lauderdale,FL,Cooper City,,,,Weekend starter,0.895,0.7,11.1,Eastern Kentucky,,,,,,,,,,,,,90.3,123.8,,,,,
63.8,Landen Parker,pitcher,C,I,NJIT,,SO,2,,,ENTERED,0,0,0,,,,,,,,0.749,0.8,20.6,Northwest Nazarene University,,,,,,,,,,54.0,3.75,2.88,0.3125,,,,,,
63.7,NOAH BURROUGHS,hitter,LF,III,Delaware,,SO,2,73.0,,ENTERED,0,0,0,Millsboro,DE,Sussex Central,,53.6,70.3,,0.746,0.58,16.3,Delaware,,0.229,,,0.387,,94.1,,,,,,,,,,,,
63.7,DOMINIC LONGO,hitter,CF,I,Arizona State,,JR,1,75.0,205.0,ENTERED,0,0,0,Liberty Lake,WA,University HS,,52.2,68.2,,0.778,1.0,14.7,Arizona State,,0.24,,,0.387,,92.7,,,,,,,,,,0.0,,
63.6,"EDWIN SANCHEZ, JR.",pitcher,P,I,Coppin State,,SO,2,70.0,185.0,ENTERED,0,0,0,Chantilly,VA,Freedom,,,,Weekend starter,0.766,1.0,22.7,Siena,,0.167,,,0.303,,84.3,,,76.2,,2.18,104.5,101.0,,,,,
63.4,Jason Flores,pitcher,P,,Texas,,SO,2,73.0,240.0,ENTERED,0,0,0,Wylie,TX,Naaman Forest,,,,Weekend starter,0.754,1.0,15.4,Texas,,,,,,,,,,32.1,4.14,2.7,85.9,83.6,,,,,
63.3,Alex Ryan,hitter,INF,,UL Monroe,,JR,1,71.0,200.0,ENTERED,0,0,0,Frisco,TX,,,53.9,53.2,,0.683,0.7,17.5,Valparaiso,,0.282,,,0.377,,86.9,,,,,,,,,,,,
63.2,Jackson Thomas,pitcher,CF,,Georgetown,,SO,2,75.0,200.0,ENTERED,0,0,0,Mesa,AZ,Mountain View,,,,,0.69,1.0,17.3,Georgetown,,0.176,,,0.201,,82.4,,,71.2,4.48,1.71,109.9,98.3,,,,,
63.2,Jaren Ekkelboom,pitcher,P,,Pacific,,JR,1,70.0,190.0,ENTERED,1,0,0,Loomis,CA,Del Oro HS,hometown=CA,,,Weekend starter,0.712,0.72,26.6,Folsom Lake JC,,,,,,,,,,37.1,2.62,2.8,0.369,89.64536677,,,,,
63.2,Chris Daniels,hitter,3B,I,New Mexico State,,SO,2,74.0,210.0,ENTERED,0,0,0,Richland,WA,Richland HS,,50.0,61.5,,0.669,1.0,17.9,New Mexico State,,0.271,,,0.336,,89.4,,,16.2,9.12,0.92,77.7,84.2,,,,,
63.2,Declan Francis,pitcher,P,I,Western Kentucky,,JR,1,74.0,240.0,ENTERED,0,0,0,Lake Oswego,OR,,,,,Weekend starter,0.634,0.72,19.0,Lane CC,,,,,,,,,,43.1,2.55,3.69,0.3725,91.6660094,0.0,,,,
63.0,Mike Poncini,pitcher,P,I,Quinnipiac,,SR,1,76.0,200.0,ENTERED,0,0,0,Hebron,CT,RHAM,,,,Weekend starter,0.66,1.0,23.3,Quinnipiac,,,,,,,,,,52.0,5.79,1.32,100.7,98.2,,,,,
63.0,Brett Lanman,pitcher,P,,Abilene Christian,,JR,1,77.0,228.0,ENTERED,0,0,0,Fairview,TX,Lovejoy HS,,,,Weekend starter,0.678,1.0,20.9,Abilene Christian,,,,,,,,,,72.0,4.76,2.47,117.9,104.7,,,,,
63.0,Blagen Pado,hitter,LF,,Coastal Carolina,,JR,1,70.0,180.0,ENTERED,0,0,0,Haymarket,VA,Highland,,46.1,59.0,,0.609,0.7,19.7,Coastal Carolina,,0.186,,,0.343,,88.2,,,,,,,,,,,,
62.9,Ryan Oakes,pitcher,P,I,Cal State Northridge,,FR,3,74.0,215.0,ENTERED,1,0,0,Folsom,CA,Folsom HS,hometown=CA,,,Weekend starter,0.663,1.0,28.1,Nevada,,,,,,,,,,24.2,4.72,3.8,101.2,98.4,,,,,
62.9,Brice Cox,pitcher,P,,Southeast Missouri,,JR,1,75.0,210.0,ENTERED,1,0,0,Petaluma,CA,Casa Grande High School,hometown=CA,,,Weekend starter,0.685,0.72,31.9,Southeast Missouri,,,,,,,,,,68.0,3.02,2.21,90.0,109.0,,,,,
62.8,Thomas Burke,pitcher,P,I,Georgia Southern,,SO,2,78.0,215.0,ENTERED,0,0,0,Monroe,GA,Walnut Grove,,,,Weekend starter,0.716,1.0,16.5,Georgia Southern,,,,,,,,,,29.2,6.62,0.93,100.1,101.7,,,,,
62.8,Nick Finarelli,pitcher,P,,Long Island,,JR,1,76.0,,ENTERED,0,0,0,Hunlock Creek,PA,Lake-Lehman HS,,,,Weekend starter,0.698,1.0,23.5,Long Island,,,,,,,,,,87.0,3.78,1.83,93.3,92.0,,,,,
62.7,Riley Luft,hitter,RF,,Appalachian State,,SO,2,71.0,198.0,ENTERED,0,0,0,Boca Raton,FL,North Broward Prep,,62.6,51.0,,0.636,0.7,18.9,Appalachian State,,0.335,,,0.376,,88.4,,,,,,,,,,,,
62.6,John Gray,pitcher,P,I,Wofford,,SR,1,77.0,220.0,ENTERED,0,0,0,Wilmington,DE,Tower Hill,,,,Weekend starter,0.838,1.0,14.2,Wofford,,,,,,,,,,17.2,6.29,0.75,106.0,107.3,,,,,
62.5,Jaylen Jones,hitter,P,,UNLV,,GR,1,69.0,180.0,ENTERED,0,0,0,Loganville,GA,Loganville HS,,56.9,52.3,Weekend starter,0.571,0.7,26.9,Western Carolina,,0.304,,,0.368,,86.2,,,,,,81.7,105.7,,,,,
62.4,AJ Camp,pitcher,P,I,Charlotte,,SO,2,73.0,200.0,ENTERED,0,0,0,Stallings,NC,Combine Academy,,,,Weekend starter,0.674,1.0,17.8,Charlotte,,,,,,,,,,38.2,5.12,2.16,102.8,105.1,,,,,
62.4,Nik Copenhaver,pitcher,P,,Ohio State,,SO,2,76.0,220.0,ENTERED,0,0,0,Hamilton,OH,,,,,Weekend starter,0.805,0.7,13.8,Ohio State,,,,,,,,,,27.2,6.07,1.08,107.2,105.1,,,,,
62.3,Evan Kleinhans,pitcher,P,I,Columbia,,SR,1,76.0,195.0,ENTERED,1,0,0,Berkeley,CA,St. Mary's,hometown=CA,,,Weekend starter,0.64,1.0,33.9,Columbia,,,,,,,,,,48.2,,3.08,107.6,95.2,,,,,
62.3,Christian Martinez,pitcher,P,I,Stony Brook,,JR,1,70.0,195.0,ENTERED,0,0,0,Corpus Christi,TX,W.B. Ray HS,,,,Weekend starter,0.64,0.58,19.5,Stony Brook,,,,,,,,,,43.0,3.95,2.25,99.4,100.9,,,,,
62.3,Ryan Martinez,pitcher,INF/UTL,I,Incarnate Word,,SR,1,75.0,220.0,ENTERED,0,0,0,Las Vegas,NV,Centennial HS,,,,,0.626,1.0,22.4,Utah Tech,,,,,,,,,,83.1,4.35,3.0,98.5,86.5,,,,,
62.3,Josh Pearson,hitter,OF,I,Southern Wesleyan,,FR,3,,,ENTERED,0,0,0,,,,,49.7,56.8,,0.697,1.0,17.1,LSU,,0.241,,,0.383,,90.7,,,,,,,,,,,,
62.2,NOLAN STEVENS,pitcher,RF,I,Oklahoma,,JR,1,75.0,216.0,ENTERED,1,0,0,Elk Grove,CA,Franklin HS,hometown=CA,,,,0.953,1.0,19.4,Oklahoma,,0.235,,,0.366,,92.7,,,,,,105.2,122.5,,,2.0,,
62.2,Wesley Jones,pitcher,P,I,Charlotte,,JR,1,76.0,230.0,ENTERED,0,0,0,Charlotte,NC,Charlotte Christian,,,,Weekend starter,0.797,1.0,14.1,Charlotte,,,,,,,,,,9.0,3.51,1.71,99.3,106.6,,,,,
62.1,Brady Bickett,pitcher,P,I,Charleston Southern,,JR,1,70.0,170.0,ENTERED,0,0,0,Rapid City,SD,Stevens High School,,,,Weekend starter,0.671,1.0,19.8,Charleston Southern,,,,,,,,,,,,,79.5,102.4,,,,,
62.1,Sebastion Edwards,pitcher,P,I,Central Arkansas,,JR,1,,,ENTERED,0,0,0,,,,,,,Weekend starter,0.805,0.72,15.8,Sierra (JC),,,,,,,,,,32.0,3.27,4.86,0.3365,,,,,,
61.9,JOHN SMITH III,hitter,P,I,Texas Southern,,SO,2,73.0,200.0,ENTERED,0,0,0,Apollo Beach,FL,Lennard HS,,62.2,67.7,Weekend starter,0.72,1.0,24.1,UCF,,0.343,,,0.452,,92.4,,,,,,,,,,,,
61.9,Connor Walsh,hitter,INF,I,Eastern Michigan,,SO,2,75.0,180.0,ENTERED,0,0,0,Mattawan,MI,Mattawan,,56.3,54.8,,0.685,1.0,20.7,Pepperdine,,0.36,,,0.392,,87.3,,,,,,,,,,,,
61.9,Jason Fultz,hitter,3B,I,Clemson,,FR,3,72.0,215.0,ENTERED,0,0,0,Harborcreek,PA,P27 (S.C.) Academy,,49.3,63.7,,0.715,1.0,16.6,Clemson,,0.22,,,0.382,,91.9,,,,,,,,,,,,
61.8,Gio Colasante,hitter,1B,I,Harvard,,SR,1,77.0,225.0,ENTERED,0,0,0,New York,NY,Poly Prep Country Day,,51.2,68.1,,0.719,1.0,21.5,Harvard,,0.301,,,0.38,,93.1,,,54.1,,1.58,93.6,95.6,,,,,
61.7,Hazen Wright,pitcher,P,,New Mexico State,,SO,2,75.0,195.0,ENTERED,1,1,1,Carlsbad,NM,Carlsbad HS,hometown=Carlsbad (SD County),,,Weekend starter,0.776,0.7,39.7,New Mexico State,,,,,,,,,,22.2,4.37,1.53,105.4,103.8,,,,,
61.7,Petey Soto Jr.,hitter,SS,,Utah Tech,,FR,3,69.0,170.0,ENTERED,0,0,0,Saint George,UT,Crimson Cliffs HS,,64.1,56.3,Everyday SS,0.707,0.7,20.0,Utah Tech,,0.365,,,0.397,,87.1,,,,,,,,,,,,
61.7,NATHAN BORCHARDT,hitter,DH,II,Eastern Michigan,,JR,1,72.0,205.0,ENTERED,0,0,0,Stanley,NC,East Lincoln HS,,52.8,57.7,,0.68,0.8,20.8,Eastern Michigan,,0.252,,,0.414,,91.5,,,,,,,,,,0.0,,
61.6,Michael Catalano,pitcher,P,,Oklahoma,,SO,2,72.0,200.0,ENTERED,0,0,0,Frisco,TX,Frisco HS,,,,Weekend starter,0.815,0.7,13.5,Oklahoma,,,,,,,,,,24.0,2.72,4.0,104.4,106.3,,,,,
61.6,Felix Schelde,pitcher,P,I,Sam Houston State,,SR,1,78.0,,ENTERED,0,0,0,Seattle,WA,West Seattle HS / Central Arizona College,,,,Weekend starter,0.556,1.0,21.3,Sam Houston State,,,,,,,,,,40.0,5.08,1.29,104.1,97.2,,,,,
61.5,Joey McMannis,pitcher,P,,Oklahoma,,JR,1,,,ENTERED,0,0,0,,,,,,,Weekend starter,0.52,1.0,22.4,University of Maryland-College Park,,,,,,,,,,40.2,6.3,0.97,0.685,110.714682,0.17,,,,
61.5,Ryan Henschel,hitter,CF,I,Rhode Island,,JR,1,71.0,182.0,ENTERED,0,0,0,Northbrook,IL,Glenbrook North,,57.4,54.7,,0.666,1.0,18.7,Rhode Island,,0.292,,,0.391,,86.5,,,,,,,,,,,,
61.4,Liam Thatcher,pitcher,P,I,East Tennessee State,,JR,1,71.0,200.0,ENTERED,1,0,0,Alta Dena,CA,,hometown=CA,,,Weekend starter,0.621,0.72,30.7,Glendale JC (CA),,,,,,,,,,54.2,3.49,2.0,0.3255,84.11611458,,,,,
61.3,SEBASTIAN LIPPMAN,pitcher,P,I,FGCU,,FR,3,74.0,180.0,ENTERED,0,0,0,Plainview,NY,Plainview-Old Bethpage/JFK HS,,,,Weekend starter,0.833,1.0,14.9,FGCU,,0.1,,,0.264,,90.6,,,,,,100.2,108.7,,,,,
61.3,Jake Porter,pitcher,P,,Southern Indiana,,SR,1,72.0,190.0,ENTERED,0,0,0,Winterset,IA,Winterset,,,,Weekend starter,0.607,1.0,24.3,Southern Indiana,,,,,,,,,,50.0,4.74,2.04,93.0,100.5,,,,,
61.3,CARTER WHITE,pitcher,P,,Eastern Michigan,,JR,1,72.0,180.0,ENTERED,0,0,0,Shelby County,KY,Shelby County,,,,Weekend starter,0.633,1.0,22.2,Northwestern State,,,,,,,,,,57.2,4.06,1.67,110.7,109.3,,,,,
61.2,Luca Reyes,hitter,LF,I,Florida International,,SO,2,74.0,,ENTERED,0,0,0,Teaneck,NJ,Bergen Catholic,,44.4,67.9,,0.671,1.0,17.9,Florida International,,0.211,,,0.329,,90.8,,,,,,,,,,,,
61.2,Logan Darnell,pitcher,P,I,Mississippi Valley,,SO,2,73.0,215.0,ENTERED,0,0,0,Fenton,MO,Rockwood Summit HS,,,,Weekend starter,0.699,1.0,24.7,Mississippi Valley,,,,,,,,,,57.1,4.08,2.45,99.9,83.3,,,,,
61.2,Tobias Motley,hitter,RF,I,Rice,,JR,1,74.0,201.0,ENTERED,0,0,0,Houston,TX,Cy Ranch,,45.1,60.5,,0.661,1.0,18.2,Rice,,0.235,,,0.355,,89.9,,,,,,,,,,,,
61.2,Brayden Randle,hitter,SS,,Ole Miss,,JR,1,69.0,175.0,ENTERED,0,0,0,Rockwall,TX,Rockwall,,49.1,55.2,Everyday SS,0.576,0.7,20.7,Ole Miss,,0.244,,,0.345,,91.0,,,,,,,,,,,,
61.1,Tyree Reed,hitter,RF,I,Jackson State,,SR,1,75.0,215.0,ENTERED,1,0,0,American Canyon,CA,American Canyon HS,hometown=CA,62.3,53.5,,0.922,1.0,28.0,Jackson State,,0.373,,,0.419,,88.2,,,,,,,,,,,,
61.1,FINLEY BATES,hitter,2B,I,Tennessee,,JR,1,70.0,180.0,ENTERED,0,0,0,Castle Rock,CO,Douglas County,,61.9,49.3,,0.526,1.0,22.2,San Diego State,,0.309,,,0.384,,86.5,,,,,,,,,,0.0,,
61.1,Ty Dooley,hitter,P,I,Rice,,FR,3,70.0,185.0,ENTERED,0,0,0,Elgin,SC,Blythewood,,54.2,54.0,Weekend starter,0.635,1.0,19.0,Coastal Carolina,,0.304,,,0.373,,86.2,,,,,,,,,,,,
61.0,GABE FRASER,hitter,SS,I,Florida State,,SO,2,74.0,190.0,ENTERED,1,0,1,Huntington Beach,CA,Orange Lutheran HS,hometown=CA;hometown=Huntington Beach (SoCal),46.1,59.9,Everyday SS,0.629,1.0,37.1,Florida State,,0.311,,,0.341,,86.5,,,,,,,,,,3.0,,
61.0,DYLAN SMITH,pitcher,P,I,UNC Greensboro,,JR,1,76.0,255.0,ENTERED,0,0,0,Garner,NC,Cleveland,,,,Weekend starter,0.649,1.0,19.8,San Jose State,,,,,,,,,,79.1,,3.0,107.2,95.9,,,0.0,,
60.9,Tyler Figueroa,hitter,LF,,Wake Forest,,JR,1,69.0,175.0,ENTERED,0,0,0,Colonie,NY,Colonie Central,,57.9,49.7,,0.623,0.7,19.3,Appalachian State,,0.287,,,0.385,,85.6,,,,,,,,,,,,
60.9,John Carmichael,pitcher,P,I,Eastern Michigan,,JR,1,72.0,190.0,ENTERED,0,0,0,Destrehan,LA,Destrehan High School,,,,Weekend starter,0.623,1.0,22.5,Eastern Michigan,,,,,,,,,,72.0,,3.25,103.6,95.1,,,,,
60.8,Jayce Park,pitcher,P,I,Old Dominion,,SO,2,71.0,184.0,ENTERED,0,0,0,Philadelphia,PA,St. John Neumann Goretti,,,,Weekend starter,0.739,1.0,15.8,Old Dominion,,,,,,,,,,19.1,6.54,1.55,105.6,101.7,,,,,
60.8,Jack Garvey,pitcher,P,,New Orleans,,JR,1,74.0,200.0,ENTERED,0,0,0,Fort Myers,FL,Montverde Academy,,,,Weekend starter,0.803,0.7,17.1,New Orleans,,,,,,,,,,,,,114.4,103.8,,,,,
60.7,Cam Diaz,pitcher,P,I,Lamar,,SR,1,76.0,210.0,ENTERED,0,0,0,Lamesa,TX,Lamesa HS,,,,Weekend starter,0.583,1.0,23.7,Sam Houston State,,,,,,,,,,45.0,6.16,1.92,103.5,95.8,,,,,
60.7,Alex Cohen,pitcher,P,I,Sacramento State,,JR,1,75.0,205.0,ENTERED,1,0,0,Studio City,CA,,hometown=CA;prev_school=CA,,,Weekend starter,0.775,0.72,24.8,Los Angeles Valley College,,,,,,,,,,28.0,2.75,5.0,0.3625,,,,,,
60.6,Jackson DiLorenzo,pitcher,P,,East Carolina,,JR,1,72.0,240.0,ENTERED,0,0,0,Cortlandt Manor,NY,Walter Panas,,,,Weekend starter,0.875,0.7,11.7,East Carolina,,,,,,,,,,20.2,5.94,0.96,117.2,107.9,,,,,
60.6,Seth Edgerton,pitcher,P,I,New Mexico,,JR,1,76.0,230.0,ENTERED,0,0,0,Greer,SC,,,,,Weekend starter,0.574,0.8,20.8,Belmont Abbey College,,,,,,,,,,53.1,3.97,1.67,0.3015,104.4141006,0.08,,,,
60.6,Ben Brash,pitcher,P,,The Citadel,,JR,1,76.0,215.0,ENTERED,0,0,0,Aiken,SC,South Aiken,,,,Weekend starter,0.708,0.7,18.1,The Citadel,,,,,,,,,,33.2,5.41,0.9,95.7,102.3,,,,,
60.5,David Ladjevic,pitcher,P,,San Diego State,,JR,1,75.0,205.0,ENTERED,1,1,1,Anaheim,CA,Servite HS,hometown=CA;hometown=Anaheim (SoCal);prev_school=CA,,,Weekend starter,0.571,0.72,45.9,Long Beach State,,,,,,,,,,45.2,5.3,1.33,77.0,88.0,,,,,
60.5,Kassius Thomas,pitcher,P,,Stanford,,SR,1,74.0,207.0,ENTERED,1,0,1,Los Angeles,CA,Sierra Canyon,hometown=CA;hometown=Los Angeles (SoCal);prev_school=CA,,,Weekend starter,0.512,0.7,39.7,Stanford,,,,,,,,,,8.0,6.55,0.75,91.8,89.7,,,,,
60.3,Gio Colasante,pitcher,1B,I,Harvard,,SR,1,77.0,225.0,ENTERED,0,0,0,New York,NY,Poly Prep Country Day,,,,,0.587,1.0,25.5,Harvard,,0.301,,,0.38,,93.1,,,54.1,,1.58,93.6,95.6,,,,,
60.3,Dylan Weekly,pitcher,P,,New Mexico State,,SO,2,76.0,200.0,ENTERED,0,0,0,Queen Creek,AZ,Queen Creek HS,,,,Weekend starter,0.835,0.7,13.0,New Mexico State,,,,,,,,,,22.2,7.5,1.11,113.0,105.8,,,,,
60.2,Calvin Johnson,pitcher,OF,,Eastern Kentucky,,FR,3,68.0,150.0,ENTERED,0,0,0,Lexington,KY,,,,,,0.655,0.72,20.3,Diablo Valley (JC),,,,,,,,,,65.0,3.21,4.88,0.3395,81.70306553,,,,,
