Team,Player,Pitch Type,Pitches,BBE,EV,EV 90,Max EV,HH%,LA,HH LA,SwSpot%,Barrel%,Barrels,BA,xBA,wOBA,xwOBA,GB%,FB%,LD%,Swing%,Z-Swing%,Z-Contact%,Chase%,Whiff%,SD+
Wheaton (MA),Robbie Lamond,All,31,6,90.0,100.7,101.2,50.0%,11.1°,15.3°,50.0,16.7%,1,1.0,0.484,1.127,0.629,50.0%,33.3%,16.7%,45.2%,83.3%,90.0%,21.1%,14.3%,123
UT Dallas,Efren Munoz,All,40,11,83.6,91.8,93.1,0.0%,17.8°,-,36.4,0.0%,0,0.636,0.323,1.006,0.367,36.4%,45.5%,9.1%,35.0%,66.7%,100.0%,9.1%,0.0%,203
Ohio,Brady Alexander,All,27,7,89.1,97.6,101.1,28.6%,29.7°,18.5°,42.9,0.0%,0,0.75,0.31,0.966,0.447,0.0%,57.1%,42.9%,37.0%,70.0%,100.0%,17.6%,30.0%,165
Lindsey Wilson,Drake Young,All,40,6,83.0,96.4,96.8,50.0%,5.8°,9.4°,50.0,0.0%,0,0.667,0.356,0.925,0.479,50.0%,33.3%,16.7%,47.5%,89.5%,82.4%,9.5%,21.1%,114
UMass Lowell,Sean O'Leary,All,36,12,98.7,108.1,108.7,75.0%,14.9°,18.7°,75.0,25.0%,3,0.667,0.594,0.87,0.782,25.0%,25.0%,50.0%,47.2%,60.9%,100.0%,23.1%,11.8%,141
La Verne,Matthew Rice,All,36,5,94.2,98.2,98.7,40.0%,10.2°,10.3°,60.0,0.0%,0,0.833,0.568,0.824,0.601,20.0%,0.0%,80.0%,36.1%,54.5%,83.3%,28.0%,46.2%,110
Tampa,Jordan Williams,All,39,7,101.3,108.2,109.4,71.4%,21.2°,17.9°,85.7,14.3%,1,0.8,0.364,0.822,0.638,14.3%,28.6%,57.1%,43.6%,69.6%,87.5%,6.2%,17.6%,153
Cumberlands (KY),Charlie Muniz,All,243,59,96.0,109.2,112.6,59.3%,23.4°,21.8°,47.5,27.1%,16,0.5,0.474,0.758,0.727,18.6%,50.8%,27.1%,45.7%,77.2%,91.5%,26.5%,10.8%,137
Pikeville,Austin Gurney,All,35,6,81.6,94.7,95.7,16.7%,8.4°,17.1°,66.7,0.0%,0,0.667,0.538,0.746,0.592,33.3%,0.0%,66.7%,28.6%,60.0%,100.0%,16.0%,20.0%,123
Tennessee Wesleyan,Devon Dixon,All,30,5,90.0,95.2,95.6,20.0%,8.4°,8.0°,20.0,0.0%,0,0.571,0.192,0.746,0.341,40.0%,40.0%,20.0%,46.7%,72.7%,100.0%,31.6%,14.3%,134
Redlands,Nathan Miller,All,49,10,89.3,99.4,99.8,50.0%,22.0°,22.7°,70.0,10.0%,1,0.6,0.424,0.743,0.563,10.0%,40.0%,40.0%,32.7%,66.7%,83.3%,12.9%,18.8%,157
SUNY Cortland,Luke Schartner,All,44,7,86.7,97.3,97.9,42.9%,3.9°,23.0°,28.6,0.0%,0,0.556,0.288,0.729,0.421,42.9%,14.3%,42.9%,34.1%,80.0%,87.5%,20.6%,26.7%,152
Lander,Jackson Hoshour,All,40,6,83.0,102.3,102.3,66.7%,2.8°,6.2°,50.0,0.0%,0,0.714,0.552,0.72,0.545,50.0%,0.0%,50.0%,45.0%,71.4%,93.3%,15.8%,5.6%,153
Point Loma,Jake Entrekin,All,35,5,86.5,102.8,103.0,40.0%,1.5°,20.7°,40.0,20.0%,1,0.5,0.297,0.718,0.473,60.0%,20.0%,20.0%,42.9%,78.6%,81.8%,19.0%,13.3%,129
Lander,Grant Sherrod,All,52,9,92.9,109.5,111.3,55.6%,-3.5°,4.8°,22.2,22.2%,2,0.545,0.34,0.712,0.5,77.8%,11.1%,11.1%,46.2%,66.7%,88.9%,24.0%,20.8%,111
MIT,Louis Hernandez,All,31,7,95.0,102.0,104.4,42.9%,27.1°,22.7°,42.9,28.6%,2,0.571,0.366,0.706,0.566,14.3%,71.4%,14.3%,45.2%,80.0%,58.3%,12.5%,42.9%,124
North Park,Nathan Sommerfeld,All,38,7,84.8,99.3,102.4,28.6%,31.8°,30.9°,42.9,0.0%,0,0.444,0.236,0.704,0.334,14.3%,57.1%,14.3%,39.5%,75.0%,91.7%,13.6%,13.3%,158
Union,Carson Chavies,All,127,22,86.3,99.6,100.9,31.8%,14.9°,12.1°,50.0,0.0%,0,0.593,0.408,0.699,0.491,31.8%,18.2%,45.5%,31.5%,71.1%,96.3%,14.6%,10.0%,136
Missouri State,Brant Kragel,All,39,5,91.6,103.1,105.4,40.0%,15.7°,26.4°,60.0,0.0%,0,0.571,0.325,0.695,0.426,20.0%,40.0%,40.0%,46.2%,70.6%,83.3%,27.3%,22.2%,84
LaGrange,Adam Dorn,All,46,12,90.6,96.8,102.6,41.7%,22.4°,12.8°,41.7,8.3%,1,0.615,0.423,0.693,0.515,16.7%,41.7%,41.7%,39.1%,92.9%,100.0%,15.6%,5.6%,178
La Verne,Jason Givens,All,39,11,93.2,100.1,101.8,54.5%,-2.4°,1.3°,36.4,9.1%,1,0.667,0.431,0.687,0.485,63.6%,18.2%,18.2%,48.7%,55.6%,100.0%,42.9%,5.3%,110
Reinhardt,Robert Phelps,All,53,18,88.6,100.4,102.1,33.3%,11.5°,10.2°,33.3,5.6%,1,0.529,0.376,0.679,0.429,38.9%,22.2%,22.2%,49.1%,74.1%,100.0%,23.1%,11.5%,118
Illinois Springfield,Ethan Bowers,All,82,8,95.1,103.2,103.6,62.5%,11.4°,12.2°,50.0,12.5%,1,0.583,0.371,0.672,0.546,37.5%,12.5%,50.0%,42.7%,77.8%,95.2%,25.5%,17.1%,157
