Team,Player,Pitch Type,Pitches,BBE,EV,EV 90,Max EV,HH%,LA,HH LA,SwSpot%,Barrel%,Barrels,BA,xBA,wOBA,xwOBA,GB%,FB%,LD%,Swing%,Z-Swing%,Z-Contact%,Chase%,Whiff%,SD+
Young Harris,Jack Enrico,All,30,8,87.3,100.6,102.0,37.5%,14.0°,14.9°,62.5,0.0%,0,0.875,.591,0.976,.660,25.0%,12.5%,62.5%,50.0%,70.0%,100.0%,40.0%,0.0%,57.0
Emory & Henry,Ky Gregoire,All,65,10,89.6,99.2,99.4,50.0%,14.3°,19.6°,60.0,0.0%,0,0.818,.431,0.971,.582,30.0%,20.0%,50.0%,30.8%,58.6%,94.1%,8.3%,10.0%,161.0
UNC Pembroke,Daniel Stephens,All,26,6,93.5,100.6,101.1,66.7%,-0.9°,6.3°,33.3,0.0%,0,0.833,.591,0.913,.593,66.7%,0.0%,33.3%,38.5%,58.3%,100.0%,21.4%,0.0%,135.0
CSU San Bernardino,Eddie Alfaro,All,58,10,92.1,99.3,100.3,40.0%,19.3°,18.0°,90.0,0.0%,0,0.7,.569,0.897,.681,10.0%,30.0%,60.0%,44.8%,66.7%,100.0%,29.4%,7.7%,124.0
Young Harris,Carlos Martans,All,30,8,95.4,105.3,106.0,50.0%,17.7°,13.3°,50.0,12.5%,1,0.75,.530,0.872,.626,12.5%,25.0%,62.5%,33.3%,61.5%,100.0%,11.8%,10.0%,133.0
Westmont,Tanner Beltowski,All,54,9,97.2,104.3,105.4,66.7%,17.9°,23.5°,77.8,33.3%,3,0.667,.609,0.854,.844,11.1%,44.4%,44.4%,33.3%,71.4%,86.7%,9.1%,16.7%,176.0
Wichita State,Max Kaufer,All,208,28,97.5,106.6,110.8,71.4%,23.5°,19.6°,75.0,32.1%,9,0.528,.460,0.81,.686,14.3%,32.1%,50.0%,30.8%,51.9%,92.7%,17.8%,21.9%,109.0
Middle Georgia State,Teonis Pimentel,All,45,9,85.5,102.3,103.6,55.6%,12.3°,19.8°,55.6,22.2%,2,0.5,.407,0.799,.565,33.3%,33.3%,33.3%,28.9%,47.4%,77.8%,15.4%,23.1%,150.0
Florida A&M,Jackson McKenzie,All,69,11,95.4,101.8,104.0,72.7%,20.4°,21.6°,36.4,0.0%,0,0.6,.348,0.798,.506,18.2%,36.4%,36.4%,39.1%,61.3%,89.5%,21.1%,18.5%,94.0
Pikeville,Joe Gagnon,All,50,6,89.7,101.4,105.4,33.3%,24.4°,29.5°,50.0,16.7%,1,0.5,.576,0.797,.799,16.7%,66.7%,16.7%,26.0%,85.7%,100.0%,16.3%,15.4%,168.0
