Team,Player,Pitch Type,Pitches,BBE,EV,EV 90,Max EV,HH%,LA,HH LA,SwSpot%,Barrel%,Barrels,BA,xBA,wOBA,xwOBA,GB%,FB%,LD%,Swing%,Z-Swing%,Z-Contact%,Chase%,Whiff%,SD+
Ole Miss,Tristan Bissetta,All,945,130,93.3,111.1,115.7,51.5%,9.5°,18.4°,40.0,19.2%,25,0.289,.294,0.438,.456,42.3%,29.2%,23.8%,42.8%,66.9%,71.7%,23.7%,36.6%,106.0
NC State,Andrew Wiggins,All,332,35,91.3,107.3,109.7,42.9%,-4.2°,4.6°,28.6,11.4%,4,0.268,.232,0.438,.387,62.9%,14.3%,17.1%,32.2%,50.3%,74.0%,18.2%,33.6%,109.0
Texas Tech,Robin Villeneuve,All,735,117,94.8,109.6,113.6,59.0%,8.8°,11.5°,34.2,14.5%,17,0.335,.337,0.438,.449,47.9%,18.8%,29.9%,43.3%,68.3%,79.5%,19.6%,29.2%,105.0
Boston College,Jack Toomey,All,766,116,93.0,106.1,110.7,51.7%,14.3°,11.8°,38.8,12.1%,14,0.316,.302,0.438,.442,39.7%,24.1%,31.9%,42.8%,71.3%,81.9%,20.8%,26.2%,108.0
Ohio State,Henry Kaczmar,All,847,157,88.2,103.6,108.1,43.9%,15.8°,17.8°,45.2,6.4%,10,0.323,.303,0.438,.415,31.2%,29.9%,32.5%,44.2%,66.5%,84.6%,25.8%,20.9%,92.0
Georgia,Keni Ishikawa,All,436,76,84.1,100.6,105.3,28.9%,17.9°,12.1°,34.2,2.6%,2,0.345,.295,0.438,.412,31.6%,31.6%,30.3%,35.1%,57.5%,91.9%,17.3%,13.7%,109.0
Mars Hill,Yeriel Pastrana,All,27,5,89.0,96.6,101.9,20.0%,27.7°,16.8°,20.0,0.0%,0,0.4,.148,0.437,.271,20.0%,60.0%,20.0%,44.4%,84.6%,81.8%,7.1%,16.7%,146.0
Auburn,Chase Fralick,All,1013,165,92.7,106.1,110.6,43.0%,12.5°,11.8°,38.8,10.9%,18,0.319,.302,0.437,.423,35.8%,23.0%,32.7%,40.2%,61.6%,89.3%,20.6%,17.2%,82.0
BYU,Crew McChesney,All,606,105,96.3,107.4,111.5,70.5%,13.8°,15.3°,41.9,15.2%,16,0.322,.345,0.437,.477,35.2%,32.4%,27.6%,46.5%,72.3%,70.9%,23.7%,37.2%,121.0
Arizona,Tony Lira,All,871,148,91.6,106.1,110.6,49.3%,11.7°,13.5°,37.8,8.8%,13,0.356,.351,0.437,.452,38.5%,25.7%,32.4%,48.0%,72.7%,82.3%,29.5%,29.7%,88.0
Central Michigan,Jonathan Fleaka,All,101,19,88.0,101.1,103.5,31.6%,8.9°,13.0°,47.4,5.3%,1,0.375,.341,0.437,.426,31.6%,26.3%,36.8%,42.6%,69.2%,92.6%,25.8%,14.0%,75.0
Delaware,Evan Bouldin,All,760,159,88.7,104.8,111.2,39.6%,10.8°,11.3°,31.4,5.0%,8,0.326,.316,0.437,.421,42.8%,27.0%,27.0%,40.0%,66.4%,93.0%,18.4%,11.8%,112.0
NJIT,Conner Rippo,All,52,9,78.9,104.4,105.8,33.3%,-11.1°,16.2°,44.4,22.2%,2,0.231,.238,0.437,.360,66.7%,33.3%,0.0%,36.5%,41.4%,75.0%,30.4%,36.8%,33.0
Ohio State,Dane Harvey,All,740,129,95.2,107.8,111.8,58.9%,18.5°,16.1°,41.9,18.6%,24,0.307,.334,0.437,.477,26.4%,34.1%,31.8%,43.4%,65.4%,81.6%,26.2%,25.5%,87.0
UNC Asheville,Jake Minarik,All,307,55,81.4,101.4,104.1,29.1%,14.3°,10.3°,32.7,0.0%,0,0.328,.268,0.437,.346,40.0%,25.5%,29.1%,43.0%,65.6%,76.8%,21.2%,26.5%,87.0
Connecticut,Camden Righi,All,579,103,92.1,104.9,109.7,51.5%,14.7°,14.2°,37.9,9.7%,10,0.333,.331,0.437,.470,39.8%,31.1%,26.2%,48.9%,75.3%,82.0%,28.7%,27.6%,94.0
Illinois State,Ryan Bakes,All,598,89,87.2,104.8,108.1,41.6%,26.8°,21.6°,34.8,13.5%,12,0.303,.269,0.437,.423,19.1%,50.6%,21.3%,49.0%,74.3%,87.5%,28.3%,24.9%,105.0
Creighton,Ben North,All,1000,140,90.4,105.6,110.8,47.1%,13.6°,15.5°,40.7,7.9%,11,0.314,.297,0.437,.425,33.6%,31.4%,29.3%,41.9%,67.8%,79.5%,23.9%,29.1%,97.0
Mississippi State,Reed Stallman,All,689,101,93.2,105.7,110.2,61.4%,15.1°,21.3°,43.6,14.9%,15,0.303,.325,0.437,.477,33.7%,34.7%,31.7%,44.7%,72.0%,81.8%,20.9%,26.3%,107.0
Alcorn State,Cooper Harris,All,83,16,85.0,99.4,101.6,18.8%,14.8°,9.0°,50.0,6.2%,1,0.333,.288,0.437,.317,31.2%,18.8%,43.8%,38.6%,55.3%,76.2%,24.4%,34.4%,42.0
Campbell,Joseph Simpson,All,449,54,85.8,102.8,104.5,38.9%,14.1°,22.3°,42.6,5.6%,3,0.317,.219,0.437,.412,31.5%,33.3%,25.9%,38.3%,69.3%,82.8%,18.3%,27.3%,127.0
