Team,Player,Pitch Type,Pitches,BBE,EV,EV 90,Max EV,HH%,LA,HH LA,SwSpot%,Barrel%,Barrels,BA,xBA,wOBA,xwOBA,GB%,FB%,LD%,Swing%,Z-Swing%,Z-Contact%,Chase%,Whiff%,SD+
Saint Joseph's,Blake Primrose,All,120,18,98.7,107.6,108.5,88.9%,24.4°,29.7°,55.6,50.0%,9,0.65,0.542,1.009,0.915,11.1%,66.7%,22.2%,36.7%,67.9%,88.9%,11.9%,9.1%,159
UT Tyler,Brock Bearden,All,27,5,88.4,95.3,98.2,40.0%,21.5°,1.1°,40.0,0.0%,0,0.833,0.333,0.913,0.482,40.0%,60.0%,0.0%,51.9%,84.6%,100.0%,21.4%,0.0%,167
Iona,AJ Oden,All,30,8,89.8,102.7,105.5,37.5%,7.7°,16.9°,50.0,12.5%,1,0.75,0.441,0.887,0.515,50.0%,12.5%,37.5%,43.3%,83.3%,100.0%,16.7%,0.0%,57
Young Harris,Jackson Morgan,All,43,8,97.0,106.9,108.3,62.5%,11.3°,6.7°,62.5,12.5%,1,0.75,0.435,0.851,0.569,37.5%,12.5%,50.0%,41.9%,63.2%,100.0%,25.0%,16.7%,83
Pomona-Pitzer,Tanner DeGrazia,All,74,11,90.9,98.4,98.9,36.4%,16.7°,17.4°,72.7,0.0%,0,0.692,0.472,0.814,0.558,18.2%,27.3%,54.5%,37.8%,67.9%,94.7%,19.6%,7.1%,141
Washington State,Ollie Obenour,All,66,9,92.2,99.4,100.0,44.4%,15.2°,15.9°,55.6,11.1%,1,0.667,0.32,0.801,0.458,44.4%,33.3%,22.2%,42.4%,64.3%,88.9%,26.3%,28.6%,148
Lincoln Memorial,Brady Morse,All,42,11,93.0,100.4,104.0,54.5%,19.8°,10.5°,72.7,0.0%,0,0.636,0.5,0.798,0.562,18.2%,27.3%,45.5%,40.5%,68.4%,92.3%,17.4%,5.9%,92
Jackson State,Shemar Harris,All,28,5,80.0,95.3,95.3,40.0%,17.1°,21.0°,60.0,0.0%,0,0.75,0.483,0.77,0.592,20.0%,40.0%,40.0%,25.0%,38.5%,80.0%,13.3%,14.3%,130
California,Kevin Jeon,All,30,8,89.1,101.2,102.6,37.5%,6.4°,26.0°,50.0,0.0%,0,0.625,0.302,0.768,0.426,37.5%,25.0%,37.5%,73.3%,100.0%,87.5%,42.9%,9.1%,65
Southern Wesleyan,Samuel Simonds,All,27,5,87.1,102.6,102.8,40.0%,3.5°,31.6°,40.0,20.0%,1,0.429,0.384,0.764,0.589,40.0%,40.0%,20.0%,37.0%,58.3%,85.7%,20.0%,20.0%,131
UT Martin,Garner Anderson,All,44,9,93.8,101.6,101.8,55.6%,9.6°,12.9°,44.4,11.1%,1,0.538,0.373,0.761,0.461,33.3%,22.2%,44.4%,45.5%,75.0%,86.7%,20.8%,20.0%,81
Rider,Anthony Paskell,All,56,15,82.6,95.7,96.5,13.3%,24.0°,25.0°,40.0,0.0%,0,0.562,0.381,0.754,0.412,26.7%,33.3%,26.7%,51.8%,64.0%,81.2%,41.9%,20.7%,117
Tusculum,Landon Dockery,All,28,8,89.3,96.8,97.3,25.0%,10.9°,27.6°,50.0,0.0%,0,0.75,0.403,0.753,0.437,25.0%,25.0%,50.0%,53.6%,92.9%,84.6%,14.3%,20.0%,147
UVa Wise,Jake Smith,All,29,6,94.1,103.8,104.1,50.0%,2.8°,14.1°,33.3,33.3%,2,0.571,0.307,0.746,0.446,50.0%,16.7%,16.7%,37.9%,60.0%,88.9%,14.3%,9.1%,165
Johnson (TN),Travis Hobbensiefken,All,32,8,89.2,98.6,99.6,50.0%,7.8°,16.6°,50.0,0.0%,0,0.625,0.44,0.735,0.503,50.0%,0.0%,50.0%,46.9%,63.6%,100.0%,38.1%,13.3%,88
North Dakota State,Bennett Freiter,All,33,8,95.1,106.2,107.5,62.5%,12.4°,7.8°,75.0,12.5%,1,0.556,0.489,0.733,0.632,37.5%,25.0%,37.5%,39.4%,68.8%,90.9%,11.8%,7.7%,124
Bethune-Cookman,Andrey Martinez,All,59,14,93.9,104.5,105.2,42.9%,24.2°,20.5°,42.9,28.6%,4,0.467,0.499,0.728,0.676,21.4%,14.3%,35.7%,42.4%,71.4%,93.3%,26.3%,16.0%,116
Western Kentucky,Kyle Hayes,All,107,24,93.8,105.6,109.8,54.2%,11.2°,16.9°,37.5,20.8%,5,0.538,0.377,0.72,0.557,41.7%,25.0%,25.0%,43.9%,76.2%,71.9%,23.1%,34.0%,112
Grambling,Hasani Johnson,All,31,7,92.0,99.0,99.8,28.6%,-4.6°,2.8°,28.6,0.0%,0,0.667,0.217,0.717,0.372,57.1%,0.0%,28.6%,45.2%,60.0%,88.9%,31.2%,14.3%,138
Pomona-Pitzer,Kai Gonzaga,All,61,11,86.4,99.6,100.9,18.2%,25.1°,24.7°,54.5,9.1%,1,0.462,0.271,0.715,0.376,18.2%,36.4%,36.4%,31.1%,37.0%,90.0%,26.5%,21.1%,95
UMass,Reece McCarthy,All,65,13,88.7,97.0,100.0,23.1%,5.7°,15.8°,53.8,7.7%,1,0.588,0.356,0.707,0.442,38.5%,23.1%,38.5%,43.1%,58.1%,83.3%,29.4%,21.4%,58
Little Rock,Cooper Chaplain,All,64,10,90.6,99.7,100.6,30.0%,5.5°,13.7°,60.0,0.0%,0,0.5,0.38,0.691,0.463,30.0%,10.0%,60.0%,53.1%,87.0%,95.0%,34.1%,17.6%,106
South Dakota State,Nate Wachter,All,52,11,87.5,103.6,104.7,45.5%,15.5°,9.8°,36.4,0.0%,0,0.636,0.399,0.686,0.511,36.4%,9.1%,36.4%,38.5%,68.2%,100.0%,16.7%,5.0%,103
UC Davis,Evan Gentil,All,35,8,98.4,103.5,103.7,62.5%,14.3°,14.0°,50.0,0.0%,0,0.714,0.501,0.685,0.56,37.5%,12.5%,50.0%,42.9%,68.8%,81.8%,21.1%,20.0%,171
Dallas Baptist,Luke Pettitte,All,165,28,97.4,107.5,114.4,60.7%,17.0°,12.2°,50.0,25.0%,7,0.472,0.41,0.682,0.601,32.1%,42.9%,21.4%,38.8%,60.9%,85.7%,22.9%,26.6%,99
Wagner,Dylan Immel,All,42,9,85.4,95.1,98.6,22.2%,8.1°,2.3°,55.6,0.0%,0,0.636,0.39,0.675,0.432,44.4%,0.0%,55.6%,40.5%,58.8%,90.0%,28.0%,23.5%,59
Minnesota,Sam Hunt,All,41,6,90.8,104.8,105.0,50.0%,9.2°,24.4°,50.0,16.7%,1,0.444,0.293,0.673,0.505,33.3%,50.0%,16.7%,41.5%,62.5%,70.0%,28.0%,41.2%,84
West Virginia,Gavin Kelly,All,145,32,93.8,104.9,107.0,65.6%,12.4°,16.0°,50.0,9.4%,3,0.514,0.391,0.672,0.516,28.1%,31.2%,40.6%,40.7%,60.8%,91.1%,19.7%,16.9%,132
Cumberlands (KY),Zamaurion Hatcher,All,42,7,85.9,94.7,97.2,14.3%,26.2°,30.2°,57.1,0.0%,0,0.5,0.265,0.672,0.402,14.3%,28.6%,42.9%,45.2%,72.2%,84.6%,25.0%,15.8%,126
Florida State,Myles Bailey,All,118,12,103.4,111.2,112.0,75.0%,6.7°,17.8°,50.0,33.3%,4,0.476,0.365,0.671,0.569,41.7%,33.3%,25.0%,32.2%,57.7%,70.0%,12.1%,31.6%,83
Dayton,Martin Howell,All,36,12,89.0,102.4,102.8,50.0%,4.6°,15.1°,58.3,16.7%,2,0.583,0.578,0.671,0.695,33.3%,16.7%,41.7%,50.0%,81.8%,88.9%,36.0%,5.6%,74
Pepperdine,Daniel Patterson,All,135,27,93.0,105.6,110.7,55.6%,15.2°,6.9°,44.4,7.4%,2,0.5,0.341,0.669,0.457,33.3%,22.2%,29.6%,36.3%,56.2%,88.9%,18.3%,8.2%,94
South Dakota State,Luke Luskey,All,79,13,88.8,104.0,106.6,46.2%,7.3°,20.1°,53.8,23.1%,3,0.412,0.383,0.663,0.564,38.5%,38.5%,23.1%,39.2%,65.5%,94.7%,24.0%,22.6%,146
