Team,Player,Pitch Type,Pitches,BBE,EV,EV 90,Max EV,HH%,LA,HH LA,SwSpot%,Barrel%,Barrels,BA,xBA,wOBA,xwOBA,GB%,FB%,LD%,Swing%,Z-Swing%,Z-Contact%,Chase%,Whiff%,SD+
Quinnipiac,Jared Zimbardo,All,57,11,91.9,101.0,104.9,63.6%,21.8°,24.6°,36.4,9.1%,1,0.455,.334,0.646,.491,18.2%,45.5%,27.3%,43.9%,77.8%,76.2%,13.3%,24.0%,137.0
Samford,Cullen Horowicz,All,106,7,103.0,108.3,108.4,100.0%,24.0°,24.0°,42.9,42.9%,3,0.353,.249,0.644,.482,14.3%,42.9%,42.9%,41.5%,60.5%,65.4%,28.6%,47.7%,96.0
Kennesaw State,Isaac Bouton,All,123,18,97.1,102.6,104.0,61.1%,16.9°,22.5°,22.2,16.7%,3,0.458,.258,0.642,.452,27.8%,50.0%,11.1%,37.4%,64.7%,100.0%,18.1%,10.9%,121.0
Texas A&M,Jace LaViolette,All,293,40,97.0,109.2,111.3,72.5%,26.0°,27.6°,47.5,40.0%,16,0.396,.338,0.642,.611,17.5%,50.0%,12.5%,38.6%,64.6%,76.3%,13.4%,29.2%,115.0
Austin Peay,John Bay,All,84,20,95.5,108.3,109.6,40.0%,28.2°,22.4°,30.0,10.0%,2,0.462,.244,0.637,.406,15.0%,30.0%,15.0%,47.6%,69.4%,92.0%,31.2%,15.0%,110.0
Texas State,Aaron Lugo,All,76,19,88.4,101.4,102.2,36.8%,12.9°,14.5°,63.2,5.3%,1,0.45,.370,0.637,.473,31.6%,21.1%,36.8%,46.1%,64.1%,96.0%,27.0%,11.4%,130.0
Northern Kentucky,Tyler Shaneyfelt,All,88,6,79.2,94.4,95.3,16.7%,12.0°,13.0°,66.7,0.0%,0,0.5,.163,0.636,.339,33.3%,16.7%,50.0%,25.0%,35.7%,80.0%,15.2%,27.3%,99.0
FGCU,Evan Dempsey,All,87,14,84.0,104.7,104.8,42.9%,16.5°,11.9°,50.0,7.1%,1,0.5,.312,0.635,.474,21.4%,7.1%,42.9%,42.5%,69.4%,88.0%,23.5%,16.2%,99.0
Boston College,John Collins,All,27,6,95.0,108.4,112.2,66.7%,19.7°,20.6°,50.0,33.3%,2,0.429,.438,0.635,.614,16.7%,50.0%,33.3%,44.4%,71.4%,70.0%,15.4%,33.3%,97.0
Saint Mary's (CA),Dalton Mashore,All,107,19,95.9,108.3,109.5,57.9%,11.5°,11.9°,31.6,0.0%,0,0.542,.315,0.631,.387,36.8%,15.8%,36.8%,40.2%,62.8%,92.6%,25.0%,25.6%,113.0
Louisville,Brandon Anderson,All,57,9,94.0,104.4,105.4,44.4%,-3.5°,5.4°,22.2,11.1%,1,0.5,.386,0.631,.464,55.6%,11.1%,22.2%,43.9%,65.2%,93.3%,29.4%,16.0%,64.0
Yale,Alec Atkinson,All,47,12,80.3,94.4,97.3,8.3%,22.1°,27.6°,58.3,0.0%,0,0.5,.400,0.631,.467,25.0%,25.0%,33.3%,53.2%,86.4%,89.5%,24.0%,12.0%,142.0
Illinois-Chicago,Kendal Ewell,All,83,17,98.1,109.0,112.3,64.7%,4.2°,8.7°,41.2,11.8%,2,0.5,.420,0.63,.526,35.3%,11.8%,47.1%,45.8%,62.5%,84.0%,30.2%,31.6%,63.0
Lipscomb,David Coppedge,All,111,15,94.4,101.5,102.2,53.3%,20.3°,22.4°,26.7,13.3%,2,0.429,.253,0.629,.473,26.7%,33.3%,13.3%,33.3%,52.4%,90.9%,21.7%,13.5%,95.0
Texas A&M,Max Kaufer,All,30,6,91.2,107.2,107.6,66.7%,15.8°,10.2°,50.0,0.0%,0,0.5,.371,0.628,.422,16.7%,33.3%,33.3%,30.0%,53.3%,100.0%,6.7%,0.0%,137.0
Austin Peay,Lyle Miller-Green,All,172,36,91.5,107.5,112.3,58.3%,15.3°,17.0°,22.2,11.1%,4,0.447,.331,0.626,.521,41.7%,36.1%,11.1%,41.3%,76.8%,88.7%,17.5%,16.9%,128.0
East Tennessee State,Noah Gent,All,38,10,80.8,101.1,102.3,20.0%,26.6°,15.3°,60.0,0.0%,0,0.545,.466,0.624,.510,10.0%,40.0%,50.0%,47.4%,70.0%,92.9%,22.2%,5.6%,117.0
UC Davis,Jason Hanson,All,49,11,87.3,98.9,99.6,27.3%,12.6°,20.6°,63.6,0.0%,0,0.462,.296,0.624,.406,36.4%,18.2%,45.5%,53.1%,73.7%,71.4%,40.0%,34.6%,82.0
Oklahoma State,Zach Ehrhard,All,313,52,95.9,107.0,109.0,57.7%,21.6°,12.9°,38.5,9.6%,5,0.508,.334,0.623,.491,23.1%,34.6%,30.8%,37.4%,65.2%,91.9%,17.1%,14.5%,133.0
Florida,Jac Caglianone,All,124,35,93.8,110.2,121.7,57.1%,14.4°,13.3°,28.6,22.9%,8,0.405,.368,0.622,.558,40.0%,25.7%,20.0%,53.2%,74.4%,87.5%,42.0%,21.2%,-12.0
USF,Bobby Boser,All,60,9,99.7,108.1,111.8,66.7%,24.1°,22.6°,33.3,44.4%,4,0.385,.358,0.622,.611,33.3%,55.6%,0.0%,35.0%,54.5%,100.0%,23.7%,19.0%,119.0
Oregon State,Trent Caraway,All,58,8,95.6,112.4,113.1,50.0%,8.2°,17.2°,62.5,25.0%,2,0.429,.286,0.621,.445,37.5%,12.5%,50.0%,53.4%,85.0%,64.7%,36.8%,48.4%,115.0
Illinois-Chicago,AJ Taylor,All,59,17,92.8,102.7,105.0,47.1%,22.4°,14.9°,58.8,11.8%,2,0.471,.419,0.621,.533,11.8%,29.4%,41.2%,44.1%,67.9%,100.0%,22.6%,3.8%,98.0
North Dakota State,Colten Becker,All,72,9,91.8,103.6,104.5,44.4%,7.1°,18.8°,22.2,22.2%,2,0.5,.303,0.621,.490,55.6%,11.1%,22.2%,43.1%,64.9%,75.0%,20.0%,29.0%,94.0
Northeastern,Tyler MacGregor,All,91,17,86.9,105.3,105.7,52.9%,8.1°,16.8°,52.9,17.6%,3,0.5,.430,0.617,.592,47.1%,11.8%,35.3%,42.9%,68.4%,88.5%,24.5%,25.6%,124.0
UC Irvine,Joichiro Oyama,All,74,12,89.5,99.4,100.6,33.3%,0.6°,11.0°,25.0,0.0%,0,0.562,.187,0.617,.363,41.7%,8.3%,16.7%,43.2%,76.9%,85.0%,25.0%,37.5%,103.0
Valparaiso,Brady Nowicki,All,40,6,89.7,100.7,100.9,33.3%,17.7°,17.6°,66.7,0.0%,0,0.5,.409,0.617,.494,16.7%,16.7%,66.7%,32.5%,66.7%,80.0%,12.0%,23.1%,157.0
North Carolina,Vance Honeycutt,All,213,28,99.1,112.7,115.5,64.3%,23.1°,24.6°,46.4,32.1%,9,0.395,.350,0.616,.609,10.7%,42.9%,28.6%,43.7%,71.4%,73.8%,23.0%,36.6%,86.0
UC San Diego,Emiliano Gonzalez,All,28,5,96.4,104.3,105.3,60.0%,8.5°,12.5°,40.0,0.0%,0,0.5,.295,0.616,.589,40.0%,20.0%,20.0%,46.4%,55.6%,100.0%,42.1%,15.4%,61.0
Towson,Chris Akers,All,44,11,93.5,105.8,106.6,45.5%,12.6°,27.3°,45.5,9.1%,1,0.429,.291,0.613,.378,18.2%,18.2%,36.4%,61.4%,72.0%,77.8%,47.4%,33.3%,-23.0
Samford,Hayden Perry,All,67,7,96.8,107.0,107.2,71.4%,17.4°,16.5°,42.9,14.3%,1,0.444,.379,0.613,.599,28.6%,28.6%,28.6%,38.8%,66.7%,77.8%,20.0%,23.1%,116.0
Princeton,Jake Koonin,All,74,10,96.3,105.5,106.0,80.0%,17.4°,16.3°,50.0,10.0%,1,0.538,.397,0.609,.550,30.0%,20.0%,50.0%,44.6%,74.2%,87.0%,23.3%,18.2%,131.0
Kentucky,Ryan Nicholson,All,213,35,93.7,106.6,110.6,60.0%,12.9°,14.0°,42.9,17.1%,6,0.46,.345,0.607,.468,40.0%,31.4%,20.0%,42.7%,70.5%,83.9%,23.2%,25.3%,98.0
Cornell,Max Jensen,All,33,10,88.8,102.5,104.3,50.0%,20.7°,9.3°,60.0,10.0%,1,0.455,.471,0.606,.560,20.0%,50.0%,30.0%,66.7%,87.5%,85.7%,47.1%,18.2%,95.0
Cornell,Owen Carlson,All,36,5,87.0,93.7,95.1,20.0%,6.0°,3.9°,40.0,0.0%,0,0.571,.344,0.605,.397,80.0%,0.0%,20.0%,36.1%,62.5%,100.0%,15.0%,15.4%,84.0
Western Illinois,Cesar Franco,All,29,6,84.1,92.0,99.8,33.3%,5.1°,3.2°,33.3,0.0%,0,0.571,.374,0.605,.409,50.0%,0.0%,50.0%,48.3%,80.0%,91.7%,14.3%,14.3%,107.0
Queens (NC),Nick Alderfer,All,30,6,87.3,101.3,103.8,33.3%,34.0°,8.3°,33.3,0.0%,0,0.667,.269,0.605,.331,16.7%,16.7%,33.3%,36.7%,61.5%,100.0%,17.6%,18.2%,126.0
Delaware State,Joseph Current,All,38,7,94.5,99.7,99.8,57.1%,23.2°,15.9°,57.1,14.3%,1,0.429,.444,0.604,.581,0.0%,14.3%,42.9%,39.5%,73.7%,78.6%,5.3%,20.0%,140.0
Grand Canyon,Cade Verdusco,All,32,7,95.6,104.1,104.9,57.1%,17.5°,16.1°,42.9,14.3%,1,0.556,.337,0.604,.435,14.3%,14.3%,57.1%,46.9%,72.7%,87.5%,33.3%,13.3%,102.0
Georgia Tech,Drew Burress,All,300,54,93.9,108.7,113.8,55.6%,21.5°,15.3°,38.9,13.0%,7,0.452,.354,0.603,.494,24.1%,29.6%,31.5%,37.3%,63.2%,83.5%,18.9%,20.5%,101.0
High Point,Adam Stuart,All,229,42,92.2,105.8,112.5,47.6%,16.4°,10.8°,33.3,2.4%,1,0.468,.363,0.603,.447,31.0%,14.3%,35.7%,35.8%,57.0%,100.0%,21.3%,4.9%,103.0
Duke,Macon Winslow,All,31,5,92.3,104.1,106.3,80.0%,21.2°,16.8°,60.0,0.0%,0,0.375,.267,0.603,.371,20.0%,40.0%,40.0%,45.2%,53.3%,87.5%,37.5%,21.4%,91.0
Holy Cross,Chris Baillargeon,All,35,5,92.9,101.6,102.7,40.0%,11.8°,25.7°,40.0,20.0%,1,0.286,.294,0.602,.492,40.0%,60.0%,0.0%,40.0%,68.4%,76.9%,6.2%,28.6%,130.0
Oregon State,Easton Talt,All,37,6,78.8,88.1,91.4,16.7%,-14.2°,-13.4°,16.7,0.0%,0,0.625,.211,0.601,.381,50.0%,16.7%,16.7%,40.5%,64.3%,66.7%,26.1%,33.3%,117.0
Belmont,Mason Landers,All,130,32,94.3,102.3,106.2,53.1%,17.4°,15.0°,31.2,15.6%,5,0.471,.379,0.6,.529,34.4%,28.1%,18.8%,50.0%,82.4%,90.5%,29.1%,18.5%,105.0
High Point,Frank Kelly,All,83,8,85.9,101.9,104.0,25.0%,19.1°,15.5°,37.5,0.0%,0,0.533,.201,0.6,.429,25.0%,12.5%,37.5%,38.6%,54.5%,88.9%,28.0%,18.8%,71.0
The Citadel,Javier Crespo,All,81,15,89.1,100.1,100.6,33.3%,4.5°,7.8°,46.7,0.0%,0,0.5,.395,0.599,.423,60.0%,0.0%,40.0%,51.9%,72.2%,88.5%,35.6%,21.4%,92.0
Harvard,William Lybrook,All,87,17,92.2,103.5,105.3,47.1%,14.2°,16.2°,47.1,17.6%,3,0.409,.303,0.598,.487,23.5%,29.4%,29.4%,47.1%,76.3%,89.7%,24.5%,22.0%,72.0
Kennesaw State,Jamarie Brooks,All,66,10,85.3,101.7,102.5,60.0%,8.7°,7.3°,50.0,10.0%,1,0.455,.417,0.597,.553,70.0%,10.0%,20.0%,31.8%,68.0%,94.1%,9.8%,14.3%,170.0
Ohio State,Nick Giamarusti,All,180,26,92.3,105.8,108.3,38.5%,14.7°,11.0°,34.6,3.8%,1,0.462,.242,0.596,.421,34.6%,19.2%,23.1%,37.2%,60.3%,85.1%,19.6%,20.9%,110.0
Oklahoma,Carter Fredrick,All,61,11,94.5,109.1,109.8,63.6%,-4.2°,4.2°,27.3,9.1%,1,0.538,.365,0.596,.493,63.6%,9.1%,18.2%,52.5%,79.2%,84.2%,35.1%,21.9%,111.0
New Mexico State,Sheehan O'Connor,All,53,10,93.9,104.7,105.4,50.0%,21.2°,19.5°,30.0,20.0%,2,0.545,.316,0.592,.475,20.0%,30.0%,30.0%,45.3%,60.0%,66.7%,26.1%,29.2%,48.0
Florida International,Brylan West,All,191,24,91.7,104.7,105.1,54.2%,10.3°,13.3°,45.8,4.2%,1,0.455,.300,0.589,.460,37.5%,25.0%,33.3%,33.0%,58.1%,95.3%,17.1%,15.9%,105.0
UTSA,Matt King,All,47,14,93.3,104.9,105.3,42.9%,15.5°,10.9°,42.9,0.0%,0,0.467,.321,0.587,.499,28.6%,21.4%,35.7%,51.1%,70.0%,92.9%,37.0%,8.3%,100.0
Bowling Green,DJ Newman,All,48,8,96.3,106.4,106.7,62.5%,17.0°,18.6°,37.5,12.5%,1,0.333,.383,0.587,.571,25.0%,37.5%,25.0%,35.4%,66.7%,100.0%,11.1%,0.0%,140.0
Presbyterian,Joel Dragoo,All,104,18,89.3,102.6,105.1,38.9%,14.7°,18.7°,55.6,11.1%,2,0.45,.392,0.586,.548,27.8%,38.9%,27.8%,42.3%,63.2%,83.3%,30.3%,20.5%,96.0
UC Irvine,Myles Smith,All,79,15,81.9,105.1,108.8,20.0%,-15.5°,12.6°,13.3,6.7%,1,0.5,.284,0.585,.505,60.0%,13.3%,6.7%,36.7%,52.9%,88.9%,24.4%,10.3%,96.0
Tennessee,Dalton Bargo,All,100,13,93.8,107.7,108.5,53.8%,26.9°,29.5°,61.5,23.1%,3,0.35,.334,0.584,.537,7.7%,30.8%,46.2%,46.0%,72.5%,75.9%,28.3%,37.0%,89.0
UT Martin,Will Smith,All,26,6,92.8,98.0,99.4,33.3%,9.5°,3.0°,50.0,0.0%,0,0.5,.301,0.583,.423,33.3%,0.0%,50.0%,38.5%,83.3%,90.0%,0.0%,10.0%,157.0
Fresno State,Tyler Davis,All,120,22,90.1,105.3,107.2,50.0%,7.7°,13.6°,54.5,4.5%,1,0.464,.397,0.582,.438,36.4%,13.6%,50.0%,50.8%,80.0%,77.8%,33.3%,32.8%,79.0
Miami (OH),Ty Batusich,All,43,6,87.7,100.7,101.9,33.3%,-4.0°,19.8°,50.0,0.0%,0,0.5,.257,0.582,.351,66.7%,0.0%,33.3%,41.9%,77.8%,78.6%,16.0%,22.2%,154.0
Fairfield,Matt Bergevin,All,58,10,87.6,106.0,112.0,30.0%,17.6°,16.4°,20.0,10.0%,1,0.385,.259,0.582,.397,40.0%,30.0%,20.0%,39.7%,69.0%,85.0%,10.3%,17.4%,118.0
Omaha,Tyler Bishop,All,51,11,93.4,104.2,105.2,45.5%,20.9°,22.5°,9.1,18.2%,2,0.429,.299,0.582,.509,36.4%,45.5%,0.0%,47.1%,52.6%,80.0%,43.8%,25.0%,96.0
Oklahoma State,Nolan Schubart,All,299,30,99.2,112.6,115.0,60.0%,20.8°,20.3°,60.0,40.0%,12,0.388,.326,0.581,.559,10.0%,33.3%,40.0%,39.1%,68.0%,66.3%,19.2%,36.8%,119.0
The Citadel,Garrett Fulmer,All,40,7,90.0,95.1,96.1,14.3%,8.3°,32.7°,14.3,0.0%,0,0.444,.267,0.58,.295,57.1%,28.6%,14.3%,52.5%,76.9%,70.0%,40.7%,28.6%,124.0
Tennessee,Christian Moore,All,272,52,97.3,112.0,115.0,67.3%,16.2°,15.0°,36.5,19.2%,10,0.41,.396,0.58,.578,36.5%,30.8%,21.2%,51.5%,89.0%,83.5%,26.4%,22.9%,127.0
Wright State,Jay Luikart,All,168,32,87.9,99.9,105.1,37.5%,14.1°,13.1°,43.8,6.2%,2,0.486,.377,0.58,.459,34.4%,18.8%,34.4%,38.1%,62.3%,87.5%,17.6%,14.1%,130.0
Miami,Blake Cyr,All,130,22,95.2,107.1,107.5,54.5%,19.1°,22.2°,45.5,18.2%,4,0.414,.334,0.58,.583,22.7%,27.3%,36.4%,40.8%,61.0%,88.9%,23.9%,22.6%,74.0
UMass Lowell,Carlos Martinez,All,68,18,89.1,97.2,100.4,27.8%,14.9°,9.1°,38.9,0.0%,0,0.45,.258,0.58,.471,27.8%,22.2%,38.9%,45.6%,62.2%,100.0%,25.8%,16.1%,101.0
Campbell,Charlie Meglio,All,166,25,92.7,106.5,109.5,48.0%,7.0°,12.6°,36.0,20.0%,5,0.367,.330,0.58,.541,36.0%,20.0%,24.0%,36.1%,64.3%,94.4%,21.8%,21.7%,104.0
