Team,Player,Pitch Type,Pitches,BBE,EV,EV 90,Max EV,HH%,LA,HH LA,SwSpot%,Barrel%,Barrels,BA,xBA,wOBA,xwOBA,GB%,FB%,LD%,Swing%,Z-Swing%,Z-Contact%,Chase%,Whiff%,SD+
Mars Hill,Zach Weaver,All,62,6,99.7,104.3,105.4,83.3%,20.3°,23.4°,50.0,50.0%,3,0.625,.496,1.035,.788,33.3%,66.7%,0.0%,45.2%,82.4%,78.6%,31.1%,25.0%,147.0
Kent State,Tim Orr,All,40,5,102.3,109.9,110.9,80.0%,15.1°,11.8°,80.0,20.0%,1,0.714,.463,1.014,.634,20.0%,40.0%,40.0%,37.5%,75.0%,77.8%,21.4%,40.0%,91.0
Lamar,Zak Skinner,All,27,6,96.5,102.3,104.1,50.0%,9.3°,25.3°,33.3,16.7%,1,0.667,.461,0.953,.649,33.3%,33.3%,16.7%,51.9%,85.7%,83.3%,15.4%,14.3%,152.0
Cal State Fullerton,Marcos Rosales,All,25,6,91.9,101.1,101.2,50.0%,9.4°,17.2°,50.0,16.7%,1,0.714,.356,0.935,.502,33.3%,16.7%,33.3%,48.0%,71.4%,80.0%,18.2%,16.7%,83.0
UTRGV,Martin Vazquez,All,51,12,94.7,106.4,108.4,58.3%,14.8°,17.7°,33.3,8.3%,1,0.643,.354,0.891,.605,33.3%,16.7%,33.3%,52.9%,75.0%,94.4%,33.3%,11.1%,106.0
Pomona-Pitzer,Isaac Kim,All,79,15,88.7,99.9,101.8,46.7%,11.6°,15.4°,60.0,6.7%,1,0.722,.437,0.867,.515,40.0%,13.3%,46.7%,43.0%,80.0%,80.0%,25.9%,17.6%,96.0
UNC Wilmington,Martin Zelenka,All,80,7,100.1,111.2,112.0,71.4%,18.1°,18.8°,71.4,28.6%,2,0.556,.487,0.852,.713,14.3%,42.9%,42.9%,38.8%,71.0%,86.4%,18.4%,25.8%,154.0
Seattle,Grant Heiser,All,73,15,95.8,103.9,106.5,73.3%,10.6°,13.7°,66.7,13.3%,2,0.647,.407,0.847,.564,33.3%,6.7%,60.0%,39.7%,57.1%,91.7%,32.7%,20.7%,132.0
UTSA,Mason Lytle,All,46,14,98.1,106.2,106.5,71.4%,10.9°,11.1°,57.1,21.4%,3,0.643,.508,0.841,.664,28.6%,14.3%,50.0%,47.8%,77.3%,100.0%,20.8%,0.0%,157.0
Bucknell,Billy Kender,All,34,6,89.6,105.2,107.3,50.0%,20.1°,22.7°,33.3,0.0%,0,0.571,.215,0.832,.373,16.7%,33.3%,33.3%,32.4%,60.0%,77.8%,10.5%,36.4%,146.0
Fairfield,Ethan Hibbard,All,52,9,92.8,105.7,106.9,55.6%,7.1°,25.1°,33.3,0.0%,0,0.545,.389,0.828,.538,44.4%,33.3%,22.2%,51.9%,83.3%,80.0%,25.0%,29.6%,85.0
Saint Mary's (CA),Brian DuRoff,All,63,14,88.8,105.2,106.1,42.9%,24.1°,20.3°,57.1,28.6%,4,0.556,.429,0.824,.604,14.3%,57.1%,21.4%,55.6%,75.0%,91.7%,35.5%,14.3%,84.0
Ohio,Gideon Antle,All,35,13,90.2,101.1,104.7,38.5%,13.0°,12.4°,30.8,0.0%,0,0.643,.308,0.812,.405,46.2%,15.4%,15.4%,74.3%,100.0%,85.0%,40.0%,11.5%,151.0
New Mexico,Jake Holland,All,66,20,92.4,105.8,108.7,50.0%,15.2°,21.0°,50.0,20.0%,4,0.591,.391,0.805,.578,35.0%,40.0%,25.0%,50.0%,77.8%,90.5%,30.8%,18.2%,78.0
Wright State,Nathan Manley,All,25,5,94.2,102.2,103.5,60.0%,22.2°,17.3°,40.0,0.0%,0,0.667,.449,0.794,.559,20.0%,60.0%,20.0%,28.0%,46.2%,100.0%,8.3%,0.0%,116.0
UC Riverside,Rudy Rodriguez IV,All,32,8,80.3,97.2,100.1,12.5%,5.8°,12.9°,37.5,0.0%,0,0.625,.305,0.769,.423,62.5%,12.5%,12.5%,37.5%,57.9%,90.9%,7.7%,8.3%,129.0
Eastern Michigan,Glenn Miller,All,31,7,96.7,102.7,103.0,71.4%,10.4°,10.4°,57.1,14.3%,1,0.625,.626,0.765,.689,28.6%,14.3%,57.1%,38.7%,76.9%,90.0%,11.1%,8.3%,157.0
Baylor,Harrison Caley,All,51,9,91.1,102.5,102.6,77.8%,5.4°,18.0°,66.7,22.2%,2,0.5,.386,0.741,.560,33.3%,22.2%,44.4%,27.5%,52.4%,100.0%,10.0%,14.3%,121.0
Austin Peay,Jon Jon Gazdar,All,169,40,91.9,103.2,107.8,52.5%,17.1°,13.9°,45.0,7.5%,3,0.571,.442,0.738,.586,25.0%,35.0%,30.0%,43.8%,70.8%,97.8%,26.9%,10.8%,119.0
Centenary (LA),Carson Livesay,All,44,7,88.3,92.4,93.2,0.0%,17.7°,-,57.1,0.0%,0,0.571,.281,0.724,.567,14.3%,0.0%,57.1%,27.3%,61.1%,100.0%,3.8%,8.3%,160.0
Rhode Island,Connor Grotyohann,All,52,13,90.5,108.7,109.6,38.5%,7.4°,20.7°,30.8,15.4%,2,0.533,.428,0.723,.595,46.2%,23.1%,15.4%,57.7%,77.8%,76.2%,36.0%,23.3%,75.0
Northeastern,Alex Lane,All,87,15,95.8,105.0,111.8,73.3%,14.8°,14.7°,40.0,13.3%,2,0.611,.375,0.719,.489,33.3%,13.3%,40.0%,48.3%,75.7%,71.4%,28.0%,35.7%,138.0
Bryant,Justin Hackett,All,40,5,86.3,102.4,103.1,40.0%,23.2°,33.1°,20.0,20.0%,1,0.429,.230,0.719,.471,20.0%,60.0%,0.0%,32.5%,73.3%,90.9%,8.0%,23.1%,161.0
San Jose State,Hunter Dorraugh,All,47,11,91.4,106.7,107.6,45.5%,17.7°,26.6°,27.3,18.2%,2,0.462,.183,0.717,.517,18.2%,45.5%,9.1%,53.2%,87.5%,85.7%,35.5%,24.0%,207.0
High Point,Peyton Carr,All,97,19,96.0,107.3,108.2,47.4%,19.1°,24.4°,47.4,26.3%,5,0.455,.441,0.715,.669,21.1%,47.4%,26.3%,39.2%,73.8%,77.4%,12.7%,21.1%,131.0
Northern Kentucky,Jake Paulick,All,58,7,97.1,106.6,109.1,71.4%,17.3°,15.4°,42.9,14.3%,1,0.5,.379,0.711,.564,42.9%,28.6%,14.3%,29.3%,48.0%,91.7%,15.2%,23.5%,116.0
UTRGV,CJ Valdez,All,65,14,90.7,107.5,108.0,42.9%,11.4°,18.1°,35.7,28.6%,4,0.533,.386,0.698,.628,35.7%,21.4%,28.6%,50.8%,82.8%,91.7%,25.0%,9.1%,152.0
Cal State Northridge,Kevin Fitzer,All,164,25,96.9,106.6,108.7,60.0%,22.3°,15.4°,64.0,24.0%,6,0.486,.370,0.696,.555,12.0%,40.0%,40.0%,42.7%,76.7%,78.3%,23.1%,27.1%,132.0
Utah Tech,Connor Tallakson,All,34,8,88.1,94.4,94.6,0.0%,6.1°,-,75.0,0.0%,0,0.556,.390,0.692,.482,25.0%,12.5%,62.5%,38.2%,57.1%,100.0%,25.0%,7.7%,102.0
Little Rock,Alex Seguine,All,32,6,81.1,93.5,96.1,16.7%,8.6°,14.9°,50.0,0.0%,0,0.667,.507,0.692,.531,50.0%,16.7%,33.3%,34.4%,66.7%,100.0%,21.7%,9.1%,197.0
Sam Houston State,Walker Janek,All,105,20,94.9,107.6,110.1,50.0%,21.4°,20.0°,30.0,20.0%,4,0.48,.263,0.688,.499,30.0%,45.0%,5.0%,44.8%,77.5%,83.9%,24.6%,21.3%,139.0
Connecticut,Matt Malcom,All,60,9,95.8,109.9,111.1,77.8%,22.2°,27.3°,33.3,33.3%,3,0.333,.295,0.687,.579,22.2%,33.3%,0.0%,40.0%,66.7%,68.8%,22.2%,33.3%,130.0
Holy Cross,Alexander Sandell,All,52,6,97.5,99.1,99.6,66.7%,24.5°,24.5°,50.0,0.0%,0,0.5,.342,0.683,.677,0.0%,33.3%,33.3%,32.7%,52.2%,100.0%,17.2%,11.8%,144.0
College of Charleston,Luke Wood,All,100,18,92.5,108.4,113.0,50.0%,11.2°,15.5°,44.4,16.7%,3,0.5,.403,0.68,.583,27.8%,33.3%,27.8%,42.0%,63.6%,85.7%,25.0%,21.4%,109.0
Bucknell,Sean Keys,All,38,9,93.9,105.4,105.7,44.4%,29.0°,12.6°,33.3,22.2%,2,0.444,.339,0.68,.631,11.1%,44.4%,22.2%,42.1%,77.8%,92.9%,10.0%,6.2%,88.0
Binghamton,Mike Gunning,All,72,12,88.7,101.0,103.5,33.3%,25.9°,26.8°,50.0,16.7%,2,0.5,.363,0.679,.555,8.3%,41.7%,33.3%,52.8%,93.3%,85.7%,23.8%,23.7%,159.0
California,Dominic Smaldino,All,34,5,101.5,109.8,110.4,80.0%,30.8°,8.8°,20.0,20.0%,1,0.5,.335,0.67,.546,40.0%,20.0%,0.0%,35.3%,61.5%,87.5%,19.0%,8.3%,117.0
UCLA,Jack Holman,All,63,8,95.2,101.7,102.7,37.5%,16.4°,14.4°,25.0,0.0%,0,0.545,.290,0.666,.420,37.5%,37.5%,12.5%,39.7%,66.7%,94.4%,19.4%,12.0%,147.0
Florida International,Chase Engelhard,All,78,14,90.7,101.4,103.0,35.7%,14.1°,16.3°,42.9,7.1%,1,0.562,.310,0.66,.436,28.6%,0.0%,35.7%,34.6%,69.0%,85.0%,14.3%,22.2%,122.0
Trinity (TX),Christian Holloway,All,25,5,84.7,84.6,85.2,0.0%,13.0°,-,60.0,0.0%,0,0.6,.500,0.66,.540,20.0%,0.0%,60.0%,48.0%,80.0%,75.0%,40.0%,16.7%,121.0
Lehigh,Raff Rogers,All,35,7,94.8,100.0,100.3,42.9%,20.6°,17.5°,42.9,0.0%,0,0.556,.226,0.657,.396,14.3%,0.0%,42.9%,42.9%,69.2%,77.8%,27.3%,26.7%,170.0
Saint Louis,Drew Winters,All,41,9,94.4,95.1,95.2,22.2%,22.2°,4.1°,22.2,0.0%,0,0.556,.107,0.656,.366,11.1%,22.2%,22.2%,51.2%,100.0%,80.0%,35.5%,23.8%,150.0
Campbell,Grant Knipp,All,171,27,99.9,109.0,113.9,74.1%,32.3°,26.7°,40.7,29.6%,8,0.394,.395,0.654,.668,7.4%,55.6%,18.5%,45.0%,74.2%,77.6%,26.7%,29.9%,137.0
UC Irvine,Will Bermudez,All,61,12,87.7,102.1,102.8,33.3%,-6.9°,9.4°,25.0,8.3%,1,0.533,.227,0.653,.420,58.3%,8.3%,16.7%,52.5%,68.0%,94.1%,41.7%,12.5%,35.0
Samford,Aaron Walton,All,134,20,91.9,105.2,107.8,40.0%,11.0°,13.2°,30.0,10.0%,2,0.478,.289,0.649,.440,30.0%,25.0%,25.0%,37.3%,60.4%,87.5%,22.2%,18.0%,116.0
Pomona-Pitzer,Jack Gold,All,90,13,80.3,95.1,95.4,15.4%,27.6°,31.3°,30.8,0.0%,0,0.444,.217,0.647,.389,15.4%,30.8%,23.1%,38.9%,71.4%,92.0%,18.2%,8.6%,127.0
Murray State,Taylor Howell,All,80,20,99.3,110.3,113.3,55.0%,20.1°,12.5°,35.0,30.0%,6,0.476,.351,0.646,.517,20.0%,15.0%,25.0%,56.2%,76.2%,87.5%,34.2%,17.8%,87.0
