Team,Player,Pitch Type,Pitches,BBE,EV,EV 90,Max EV,HH%,LA,HH LA,SwSpot%,Barrel%,Barrels,BA,xBA,wOBA,xwOBA,GB%,FB%,LD%,Swing%,Z-Swing%,Z-Contact%,Chase%,Whiff%,SD+
Tennessee Southern,Kevin McCarthy,All,27,5,96.2,100.3,101.1,60.0%,26.2°,16.0°,60.0,0.0%,0,0.8,.482,0.956,.611,20.0%,0.0%,60.0%,25.9%,54.5%,83.3%,6.2%,14.3%,116.0
Southeastern (FL),Isaac Nunez,All,34,6,91.6,104.5,107.3,50.0%,14.5°,18.4°,50.0,16.7%,1,0.833,.438,0.935,.613,16.7%,33.3%,50.0%,32.4%,76.9%,90.0%,4.8%,18.2%,187.0
Limestone,Winston Parke,All,73,6,87.7,95.0,96.6,16.7%,14.4°,14.0°,83.3,0.0%,0,0.556,.321,0.782,.496,0.0%,33.3%,50.0%,28.8%,43.5%,80.0%,22.0%,33.3%,105.0
Lincoln Memorial,Ryan Kurth,All,33,11,97.2,106.6,107.2,63.6%,18.9°,13.7°,45.5,9.1%,1,0.636,.504,0.764,.628,27.3%,18.2%,45.5%,57.6%,87.5%,92.9%,29.4%,21.1%,166.0
California Baptist,Ryan Kim,All,67,11,95.4,102.3,102.8,54.5%,19.2°,16.3°,54.5,9.1%,1,0.538,.385,0.753,.529,9.1%,27.3%,36.4%,41.8%,67.7%,90.5%,19.4%,10.7%,119.0
Salem,Mackenzie Wainwright,All,36,11,92.3,105.5,106.4,36.4%,9.5°,13.6°,36.4,18.2%,2,0.5,.397,0.742,.538,36.4%,36.4%,27.3%,58.3%,87.5%,78.6%,35.0%,23.8%,122.0
Lenoir-Rhyne,Sal Carricato,All,50,10,94.8,106.1,106.2,60.0%,16.7°,25.0°,50.0,40.0%,4,0.462,.328,0.722,.488,40.0%,40.0%,10.0%,48.0%,70.8%,82.4%,26.9%,25.0%,142.0
Lincoln Memorial,Cameron Bowen,All,62,10,99.1,109.7,110.0,60.0%,14.8°,8.8°,30.0,10.0%,1,0.6,.388,0.715,.526,40.0%,30.0%,20.0%,33.9%,68.0%,94.1%,10.8%,4.8%,199.0
Alvin,Damien Amencia,All,29,7,92.3,104.8,106.3,42.9%,17.3°,25.2°,71.4,28.6%,2,0.444,.253,0.7,.425,14.3%,71.4%,14.3%,58.6%,75.0%,83.3%,38.5%,23.5%,43.0
Tufts,Malachi Pena,All,37,7,88.1,99.7,103.2,14.3%,21.8°,32.2°,28.6,14.3%,1,0.5,.254,0.686,.267,14.3%,42.9%,14.3%,48.6%,68.8%,63.6%,33.3%,38.9%,88.0
UT Permian Basin,Caleb Boswell,All,28,6,87.2,102.2,103.3,33.3%,17.2°,9.2°,50.0,0.0%,0,0.667,.505,0.685,.521,33.3%,16.7%,33.3%,42.9%,75.0%,100.0%,18.8%,0.0%,142.0
Virginia Tech,Jake Slade,All,40,7,98.8,104.2,104.5,85.7%,14.9°,15.0°,42.9,28.6%,2,0.5,.362,0.682,.496,28.6%,42.9%,28.6%,47.5%,68.2%,73.3%,22.2%,31.6%,69.0
Wichita State,Josh Livingston,All,48,5,86.0,107.4,109.0,60.0%,22.2°,24.9°,40.0,40.0%,2,0.375,.233,0.682,.407,20.0%,40.0%,20.0%,43.8%,77.8%,78.6%,23.3%,38.1%,76.0
Lincoln Memorial,Collin Goda,All,47,7,86.4,100.2,103.7,14.3%,13.9°,25.4°,42.9,14.3%,1,0.444,.371,0.678,.539,28.6%,42.9%,28.6%,36.2%,63.2%,91.7%,17.9%,11.8%,147.0
Little Rock,Trey Hill,All,49,6,97.5,106.0,106.4,50.0%,37.4°,23.0°,33.3,33.3%,2,0.364,.247,0.677,.403,0.0%,50.0%,16.7%,53.1%,91.3%,81.0%,19.2%,34.6%,119.0
Panola,Dominic Archila,All,31,10,87.9,94.3,96.6,11.1%,13.8°,17.4°,66.7,0.0%,0,0.6,.565,0.676,.596,33.3%,11.1%,55.6%,41.9%,68.8%,100.0%,13.3%,7.7%,150.0
Southwestern (TX),Owen Stevenson,All,52,11,91.7,112.7,113.0,45.5%,20.6°,6.2°,45.5,18.2%,2,0.583,.372,0.676,.564,18.2%,36.4%,36.4%,57.7%,83.3%,80.0%,35.7%,30.0%,133.0
