Team,Player,Pitch Type,Pitches,BBE,EV,EV 90,Max EV,HH%,LA,HH LA,SwSpot%,Barrel%,Barrels,BA,xBA,wOBA,xwOBA,GB%,FB%,LD%,Swing%,Z-Swing%,Z-Contact%,Chase%,Whiff%,SD+
Georgia,Charlie Goldstein,All,30,8,88.9,100.4,102.0,37.5%,16.7°,14.4°,37.5,0.0%,0,0.5,.327,0.67,.392,37.5%,12.5%,37.5%,33.3%,50.0%,100.0%,22.2%,10.0%,36.0
UVa Wise,DJ Dickson,All,56,7,85.7,95.3,99.4,14.3%,12.8°,11.7°,42.9,0.0%,0,0.625,.477,0.67,.559,28.6%,28.6%,28.6%,33.9%,80.0%,91.7%,17.1%,10.5%,175.0
Queens (NC),Andrew McDermott,All,133,16,88.8,102.2,102.8,31.2%,31.7°,25.8°,56.2,18.8%,3,0.429,.287,0.669,.524,6.2%,37.5%,25.0%,35.3%,64.2%,74.4%,6.1%,25.5%,169.0
San Diego,Nico Libed,All,46,5,83.1,94.5,96.9,20.0%,21.1°,21.8°,100.0,0.0%,0,0.571,.450,0.664,.532,0.0%,20.0%,80.0%,26.1%,50.0%,80.0%,7.7%,25.0%,187.0
Arizona State,Eamonn Lance,All,58,8,91.3,103.5,103.9,62.5%,16.8°,12.7°,37.5,12.5%,1,0.364,.249,0.659,.485,37.5%,50.0%,0.0%,36.2%,56.0%,78.6%,21.2%,28.6%,50.0
UCLA,Duce Gourson,All,55,8,89.7,106.9,107.5,37.5%,-8.3°,20.1°,37.5,25.0%,2,0.4,.313,0.657,.636,37.5%,12.5%,25.0%,25.5%,60.9%,92.9%,0.0%,7.1%,151.0
Cumberlands (KY),Evan St. Claire,All,28,9,86.9,102.5,103.1,22.2%,21.7°,15.6°,33.3,11.1%,1,0.5,.348,0.654,.422,22.2%,22.2%,22.2%,67.9%,93.3%,78.6%,38.5%,21.1%,94.0
Tennessee,Colby Backus,All,130,18,93.4,103.2,107.3,61.1%,11.3°,15.5°,44.4,16.7%,3,0.429,.284,0.653,.457,38.9%,33.3%,22.2%,41.5%,67.2%,68.3%,18.8%,37.0%,92.0
UT Permian Basin,Taylor McDaniel,All,49,10,76.9,98.2,99.0,44.4%,11.9°,18.2°,66.7,0.0%,0,0.538,.484,0.653,.641,44.4%,11.1%,44.4%,42.9%,54.2%,92.3%,32.0%,23.8%,101.0
Middle Tennessee,Jared Vetetoe,All,38,6,92.6,100.4,102.2,50.0%,27.8°,24.0°,66.7,16.7%,1,0.4,.228,0.65,.390,16.7%,50.0%,16.7%,55.3%,88.9%,75.0%,44.8%,61.9%,68.0
Lenoir-Rhyne,Cole Stanford,All,27,9,92.8,107.4,108.2,66.7%,1.7°,3.1°,11.1,0.0%,0,0.556,.371,0.648,.439,77.8%,11.1%,0.0%,37.0%,66.7%,100.0%,13.3%,10.0%,170.0
Jackson State,Robert Tate,All,50,6,89.0,97.9,99.4,16.7%,4.8°,13.1°,66.7,0.0%,0,0.667,.364,0.64,.685,33.3%,0.0%,50.0%,38.0%,64.0%,93.8%,12.0%,5.3%,155.0
High Point,Peyton Carr,All,329,69,95.3,106.6,109.4,56.5%,21.6°,19.0°,42.0,20.3%,14,0.449,.384,0.64,.596,21.7%,40.6%,23.2%,39.8%,71.4%,86.0%,16.4%,16.0%,115.0
Merrimack,Logan Castellano,All,52,6,97.1,98.6,98.6,50.0%,-11.3°,-0.8°,16.7,0.0%,0,0.556,.207,0.637,.335,66.7%,0.0%,16.7%,34.6%,64.7%,63.6%,20.0%,50.0%,127.0
Georgia,Charlie Condon,All,1036,177,97.8,112.3,118.2,62.7%,15.7°,15.0°,41.8,22.6%,40,0.444,.400,0.637,.589,30.5%,27.7%,28.2%,40.9%,68.5%,87.9%,23.0%,21.2%,94.0
Reinhardt,Tucker Zdunich,All,62,10,91.4,103.6,105.1,70.0%,8.2°,15.0°,70.0,0.0%,0,0.538,.420,0.637,.574,11.1%,0.0%,88.9%,46.8%,72.7%,93.8%,32.5%,20.7%,71.0
Toledo,Garret Pike,All,136,29,88.8,103.7,107.0,37.9%,23.8°,27.0°,44.8,17.2%,5,0.455,.387,0.637,.550,17.2%,41.4%,31.0%,47.8%,75.4%,83.7%,22.5%,23.1%,97.0
Morehead State,Kyle Bartman,All,44,8,80.9,92.5,93.1,0.0%,16.7°,-,62.5,0.0%,0,0.556,.369,0.637,.463,25.0%,12.5%,50.0%,38.6%,70.0%,92.9%,12.5%,11.8%,152.0
Schreiner,Gerardo Cardoza,All,56,11,84.3,92.7,95.4,12.5%,13.5°,2.5°,37.5,0.0%,0,0.667,.349,0.635,.510,50.0%,12.5%,37.5%,35.7%,52.0%,84.6%,22.6%,10.0%,85.0
Coker,Ick Cirino,All,49,7,79.9,96.5,96.7,28.6%,11.5°,23.4°,42.9,0.0%,0,0.375,.176,0.634,.350,28.6%,0.0%,42.9%,36.7%,70.6%,83.3%,18.8%,16.7%,135.0
Whitman,Beck Maguire,All,46,6,92.5,101.8,102.1,50.0%,7.2°,13.4°,33.3,16.7%,1,0.5,.423,0.629,.544,66.7%,16.7%,16.7%,37.0%,65.0%,100.0%,15.4%,5.9%,113.0
George Fox,Noah Meffert,All,232,52,90.1,103.3,107.2,52.0%,7.5°,10.3°,44.0,1.9%,1,0.537,.364,0.625,.463,45.8%,18.8%,35.4%,42.7%,66.4%,91.5%,22.4%,10.1%,112.0
Illinois-Chicago,Kendal Ewell,All,612,99,98.4,109.7,114.3,66.7%,14.0°,17.6°,41.4,19.2%,19,0.438,.374,0.619,.580,30.3%,32.3%,28.3%,41.5%,68.6%,83.3%,19.9%,29.1%,112.0
Campbell,Grant Knipp,All,541,69,98.5,110.3,113.9,66.7%,27.3°,25.0°,46.4,33.3%,23,0.4,.356,0.619,.600,11.6%,43.5%,27.5%,42.1%,68.8%,76.2%,27.8%,32.0%,109.0
Lenoir-Rhyne,Khi Holiday,All,29,5,82.6,94.0,97.1,20.0%,0.3°,27.0°,60.0,0.0%,0,0.4,.265,0.617,.402,40.0%,20.0%,40.0%,31.0%,69.2%,77.8%,0.0%,22.2%,155.0
North Dakota State,Colten Becker,All,142,23,88.5,103.2,105.6,43.5%,14.7°,20.7°,39.1,13.0%,3,0.464,.352,0.616,.561,34.8%,26.1%,30.4%,41.5%,67.2%,77.8%,18.7%,27.1%,109.0
Tennessee Southern,Gabe Sibert,All,32,6,78.9,88.9,91.9,0.0%,14.9°,-,0.0,0.0%,0,0.5,.127,0.613,.137,50.0%,50.0%,0.0%,50.0%,83.3%,80.0%,30.0%,31.2%,74.0
Morehead State,Carter Owens,All,68,6,91.5,106.6,107.4,33.3%,28.9°,26.0°,50.0,33.3%,2,0.364,.247,0.61,.480,0.0%,83.3%,16.7%,20.6%,30.8%,87.5%,14.3%,35.7%,101.0
Lenoir-Rhyne,Cole Laskowski,All,58,9,90.0,102.1,102.4,33.3%,18.0°,15.4°,66.7,0.0%,0,0.364,.337,0.61,.474,33.3%,33.3%,22.2%,34.5%,65.2%,93.3%,14.3%,10.0%,188.0
Young Harris,Jeremy Begora,All,244,40,90.4,105.3,107.1,42.1%,16.7°,10.9°,36.8,7.5%,3,0.447,.340,0.609,.509,33.3%,33.3%,33.3%,38.9%,69.1%,92.5%,19.0%,17.9%,92.0
UTRGV,Martin Vazquez,All,209,39,90.3,105.5,108.4,46.2%,11.9°,16.4°,48.7,10.3%,4,0.5,.409,0.609,.578,35.9%,23.1%,33.3%,48.3%,73.0%,93.8%,30.0%,12.9%,118.0
California Lutheran,Sebastian Smith,All,46,10,87.8,93.7,94.9,0.0%,18.1°,-,70.0,0.0%,0,0.455,.341,0.607,.396,20.0%,30.0%,40.0%,56.5%,93.3%,100.0%,38.7%,15.4%,78.0
UC Irvine,Myles Smith,All,351,55,89.5,107.3,108.8,41.8%,1.6°,7.7°,29.1,7.3%,4,0.484,.329,0.607,.498,47.3%,14.5%,21.8%,31.1%,51.3%,87.2%,15.6%,13.8%,108.0
Texas Lutheran,Aric Vasquez,All,66,12,83.7,94.1,94.3,0.0%,14.8°,-,45.5,0.0%,0,0.538,.303,0.605,.341,18.2%,27.3%,54.5%,42.4%,71.4%,95.0%,21.1%,14.3%,130.0
Fairfield,Ethan Hibbard,All,228,43,90.5,107.9,110.3,55.8%,6.9°,12.6°,25.6,11.6%,5,0.423,.326,0.598,.458,48.8%,25.6%,16.3%,40.8%,58.9%,83.9%,27.8%,25.8%,69.0
Delaware,Tyler August,All,39,6,93.3,102.3,103.0,50.0%,18.6°,17.6°,33.3,16.7%,1,0.429,.406,0.596,.546,33.3%,16.7%,33.3%,30.8%,81.8%,88.9%,10.7%,25.0%,120.0
Wright State,Nathan Manley,All,108,17,90.8,99.3,103.5,52.9%,16.3°,19.9°,47.1,5.9%,1,0.435,.322,0.596,.461,23.5%,41.2%,29.4%,32.4%,54.2%,81.2%,6.1%,17.1%,125.0
UCLA,Carson Yates,All,41,5,90.1,99.4,99.8,40.0%,22.7°,18.1°,100.0,0.0%,0,0.444,.283,0.595,.399,0.0%,40.0%,60.0%,51.2%,66.7%,71.4%,35.0%,38.1%,100.0
Emmanuel (GA),Brody Campbell,All,115,19,90.6,101.9,102.7,36.8%,13.0°,15.0°,31.6,5.3%,1,0.476,.394,0.588,.505,47.1%,23.5%,29.4%,36.5%,68.2%,86.7%,16.9%,16.7%,133.0
Ohio,Gideon Antle,All,138,38,87.6,101.6,106.0,28.9%,12.1°,10.8°,31.6,0.0%,0,0.5,.338,0.587,.390,44.7%,18.4%,21.1%,59.4%,82.5%,82.7%,40.0%,15.9%,110.0
La Verne,Logan Reese,All,35,6,85.9,100.0,100.7,33.3%,6.3°,15.7°,50.0,16.7%,1,0.333,.301,0.586,.426,50.0%,16.7%,33.3%,25.7%,14.3%,100.0%,28.6%,0.0%,127.0
Virginia,Aidan Teel,All,28,5,91.0,102.4,103.4,40.0%,27.9°,26.0°,60.0,40.0%,2,0.286,.278,0.583,.467,20.0%,60.0%,0.0%,35.7%,66.7%,75.0%,12.5%,30.0%,166.0
California Lutheran,Alec Garcia,All,51,12,82.7,93.3,93.8,0.0%,12.0°,-,33.3,0.0%,0,0.6,.238,0.583,.314,33.3%,8.3%,41.7%,43.1%,62.5%,90.0%,34.3%,13.6%,45.0
Pomona-Pitzer,Isaac Kim,All,375,70,87.6,102.2,105.1,38.6%,16.8°,15.3°,54.3,10.0%,7,0.455,.393,0.582,.498,27.1%,24.3%,38.6%,43.2%,75.2%,86.8%,28.0%,16.0%,122.0
Arizona State,Kien Vu,All,260,32,87.7,107.0,108.2,53.1%,12.0°,17.6°,43.8,9.4%,3,0.42,.252,0.582,.401,31.2%,34.4%,25.0%,47.3%,68.9%,81.7%,33.1%,33.3%,80.0
Oklahoma State,Nolan Schubart,All,720,79,97.7,112.2,115.0,63.3%,21.3°,20.6°,50.6,32.9%,26,0.387,.337,0.58,.555,16.5%,29.1%,38.0%,39.4%,66.9%,70.0%,20.0%,36.6%,115.0
Northeastern,Alex Lane,All,361,61,93.4,108.6,111.8,60.7%,19.2°,11.7°,31.1,16.4%,10,0.416,.355,0.578,.481,41.0%,24.6%,19.7%,49.0%,77.6%,76.0%,26.0%,27.7%,108.0
Appalachian State,Banks Tolley,All,532,111,93.3,110.4,113.6,53.2%,16.2°,14.6°,37.8,18.9%,21,0.414,.359,0.578,.512,35.1%,26.1%,20.7%,43.6%,70.4%,84.2%,25.3%,19.4%,115.0
Coppin State,Damon Gaither,All,116,15,86.7,107.8,110.3,40.0%,16.4°,23.4°,33.3,13.3%,2,0.333,.292,0.577,.541,33.3%,40.0%,20.0%,35.3%,64.3%,74.1%,18.9%,24.4%,126.0
Limestone,Davis Turner,All,51,9,93.0,100.7,100.8,44.4%,30.9°,8.9°,22.2,0.0%,0,0.5,.257,0.575,.355,33.3%,33.3%,22.2%,41.2%,58.3%,92.9%,25.9%,19.0%,79.0
Norfolk State,Justin Journette,All,97,10,89.0,110.4,113.6,50.0%,9.2°,11.2°,30.0,20.0%,2,0.412,.250,0.574,.448,40.0%,20.0%,30.0%,47.4%,78.6%,63.6%,23.6%,37.0%,142.0
Virginia Tech,Garrett Michel,All,158,23,94.5,112.8,116.8,56.5%,7.9°,17.7°,52.2,30.4%,7,0.4,.354,0.573,.535,39.1%,34.8%,26.1%,49.4%,72.9%,72.5%,30.7%,37.2%,69.0
Loyola Marymount,Khadim Diaw,All,191,42,87.8,105.5,107.8,40.5%,16.2°,19.5°,57.1,7.1%,3,0.451,.317,0.572,.403,21.4%,26.2%,40.5%,48.2%,64.6%,88.7%,35.8%,21.7%,62.0
Binghamton,Mike Gunning,All,193,30,91.1,103.9,108.3,43.3%,19.7°,20.9°,53.3,20.0%,6,0.409,.341,0.572,.485,20.0%,33.3%,36.7%,51.3%,78.6%,77.9%,23.2%,27.3%,136.0
St. Thomas (MN),Max Nyrop,All,55,11,87.0,102.4,102.5,45.5%,24.3°,12.7°,27.3,9.1%,1,0.462,.224,0.572,.467,18.2%,18.2%,18.2%,50.9%,72.7%,81.2%,36.4%,25.0%,82.0
San Diego State,Zane Kelly,All,68,10,92.0,104.5,104.8,30.0%,-6.8°,10.3°,20.0,10.0%,1,0.429,.277,0.569,.403,50.0%,10.0%,20.0%,38.2%,64.0%,87.5%,23.3%,30.8%,122.0
Delaware State,Chris Amparo,All,87,15,87.7,103.5,103.7,40.0%,25.2°,19.0°,33.3,6.7%,1,0.375,.331,0.569,.496,26.7%,26.7%,33.3%,35.6%,52.8%,68.4%,23.5%,25.8%,108.0
Eastern Michigan,Brendan Kleiman,All,89,17,84.3,100.7,105.0,23.5%,10.3°,4.7°,41.2,5.9%,1,0.526,.313,0.569,.384,29.4%,23.5%,35.3%,36.0%,65.8%,92.0%,13.7%,9.4%,130.0
Texas A&M-Corpus Christi,Chance Reisdorph,All,113,17,83.9,98.5,99.0,29.4%,13.4°,25.8°,41.2,0.0%,0,0.4,.195,0.564,.363,17.6%,35.3%,29.4%,46.0%,73.7%,89.3%,32.0%,17.3%,80.0
Queens (NC),JJ Sousa,All,111,23,88.7,100.8,103.3,30.4%,17.3°,26.5°,43.5,4.3%,1,0.429,.303,0.563,.394,17.4%,21.7%,39.1%,45.9%,68.2%,76.7%,31.3%,21.6%,110.0
Georgia Tech,Drew Burress,All,932,152,92.5,107.7,113.8,53.9%,16.3°,14.4°,38.2,17.8%,27,0.39,.347,0.562,.514,30.9%,28.3%,27.6%,36.3%,63.2%,86.4%,17.5%,18.6%,113.0
Florida State,Jordan Williams,All,92,14,84.2,101.7,107.1,35.7%,18.5°,12.8°,35.7,7.1%,1,0.438,.329,0.56,.544,28.6%,21.4%,35.7%,38.0%,66.7%,95.0%,24.2%,17.1%,100.0
Delaware State,Joseph Current,All,83,15,92.5,100.4,105.2,53.3%,18.3°,16.0°,60.0,20.0%,3,0.412,.387,0.559,.548,20.0%,26.7%,26.7%,32.5%,67.6%,76.0%,4.3%,22.2%,130.0
Southern Wesleyan,Marty Grisso,All,64,10,75.4,96.6,97.7,25.0%,11.4°,17.1°,37.5,0.0%,0,0.375,.222,0.559,.467,37.5%,12.5%,50.0%,50.0%,90.5%,89.5%,30.2%,25.0%,51.0
Limestone,Gavin Troyer,All,45,12,81.8,97.6,101.4,25.0%,3.4°,15.0°,33.3,0.0%,0,0.462,.265,0.558,.383,41.7%,25.0%,25.0%,40.0%,65.0%,92.3%,20.0%,22.2%,97.0
Akron,Charlie Schebler,All,124,20,91.3,102.6,103.8,30.0%,13.2°,12.2°,25.0,10.0%,2,0.444,.258,0.558,.399,40.0%,25.0%,15.0%,47.6%,77.6%,81.6%,28.0%,23.7%,104.0
Erskine,Jude Littrell,All,52,10,82.2,90.9,93.2,11.1%,5.7°,-0.5°,44.4,0.0%,0,0.538,.346,0.557,.463,44.4%,11.1%,44.4%,50.0%,69.0%,80.0%,26.1%,19.2%,172.0
UT Permian Basin,Brent Rigtrup,All,41,11,95.5,99.7,100.6,63.6%,2.4°,1.0°,18.2,0.0%,0,0.636,.400,0.556,.393,72.7%,0.0%,18.2%,48.8%,80.0%,91.7%,30.8%,10.0%,122.0
Coker,Donavan Frayer,All,35,8,88.5,102.2,103.8,50.0%,7.9°,8.7°,25.0,0.0%,0,0.444,.450,0.556,.483,62.5%,0.0%,25.0%,42.9%,50.0%,88.9%,35.3%,13.3%,116.0
Coker,Ian Miller,All,29,5,82.1,88.9,90.6,0.0%,18.8°,-,40.0,0.0%,0,0.571,.325,0.556,.485,20.0%,20.0%,40.0%,41.4%,57.1%,75.0%,26.7%,33.3%,133.0
Lincoln Memorial,Carson Boles,All,48,9,93.0,97.5,99.8,44.4%,14.3°,-1.8°,22.2,0.0%,0,0.625,.315,0.555,.401,55.6%,33.3%,11.1%,41.7%,77.3%,100.0%,11.5%,5.0%,144.0
Harvard,Ben Rounds,All,581,102,91.9,106.5,112.4,47.1%,1.7°,11.1°,33.3,9.8%,10,0.43,.327,0.555,.474,47.1%,13.7%,27.5%,39.1%,67.4%,88.4%,20.5%,21.1%,123.0
Campbell,Jackson Thompson,All,30,5,91.4,96.7,99.9,20.0%,32.3°,31.6°,40.0,0.0%,0,0.333,.216,0.554,.423,20.0%,40.0%,20.0%,30.0%,70.0%,71.4%,10.0%,22.2%,187.0
New Mexico,Reed Spenrath,All,685,101,95.5,109.4,113.9,58.4%,12.3°,15.1°,39.6,15.8%,16,0.4,.332,0.554,.491,31.7%,29.7%,25.7%,40.9%,69.0%,81.3%,20.6%,26.1%,120.0
Eastern Michigan,Giano Zuccaro,All,166,30,84.0,101.3,104.9,30.0%,9.4°,10.9°,23.3,0.0%,0,0.441,.358,0.554,.428,56.7%,26.7%,16.7%,30.1%,45.7%,93.8%,18.8%,12.0%,102.0
Florida State,James Tibbs III,All,867,164,94.0,108.2,111.4,48.8%,16.7°,17.5°,39.6,14.6%,24,0.383,.366,0.553,.545,28.7%,21.3%,27.4%,43.9%,78.6%,82.2%,18.7%,21.5%,117.0
Norfolk State,Jalan Jones,All,67,12,94.7,101.7,103.1,50.0%,3.0°,7.2°,33.3,8.3%,1,0.471,.301,0.549,.343,58.3%,8.3%,25.0%,49.3%,72.7%,87.5%,37.8%,24.2%,79.0
Bowling Green,DJ Newman,All,172,30,95.1,106.4,106.7,53.3%,1.6°,10.6°,33.3,6.7%,2,0.417,.319,0.548,.481,40.0%,16.7%,26.7%,37.8%,62.0%,93.9%,17.2%,15.4%,101.0
Saint Peter's,Tyler Smith,All,115,15,87.8,104.5,106.6,53.3%,12.8°,12.6°,33.3,20.0%,3,0.389,.329,0.548,.506,33.3%,26.7%,26.7%,45.2%,85.4%,91.4%,23.0%,15.4%,162.0
Austin Peay,Lyle Miller-Green,All,708,130,94.6,111.6,116.4,58.5%,18.2°,15.9°,31.5,18.5%,24,0.34,.357,0.547,.562,28.5%,29.2%,23.8%,41.1%,66.0%,90.6%,26.7%,19.6%,84.0
UT Tyler,Nathan Carriere,All,85,18,91.7,99.3,100.1,50.0%,19.2°,12.1°,55.6,5.6%,1,0.429,.384,0.547,.467,22.2%,16.7%,50.0%,47.1%,75.0%,92.6%,26.5%,15.0%,105.0
Campbell,Lawson Harrill,All,893,118,93.6,106.9,111.7,54.2%,20.8°,21.7°,43.2,19.5%,23,0.367,.318,0.546,.507,24.6%,33.1%,28.8%,38.2%,66.2%,78.0%,18.4%,28.2%,124.0
Bryant,Shea Grady,All,106,21,90.3,100.8,105.0,38.1%,15.3°,17.0°,47.6,9.5%,2,0.409,.331,0.545,.489,28.6%,14.3%,38.1%,34.0%,61.5%,91.7%,17.9%,13.9%,115.0
Southern,Jalon Mack,All,58,10,90.9,99.0,101.6,40.0%,11.9°,9.2°,70.0,0.0%,0,0.538,.393,0.545,.443,20.0%,10.0%,60.0%,44.8%,76.0%,68.4%,21.2%,34.6%,159.0
UTSA,Mason Lytle,All,154,46,94.4,106.0,108.6,52.2%,8.4°,12.1°,37.0,6.5%,3,0.438,.359,0.544,.426,28.3%,10.9%,39.1%,57.1%,81.4%,96.5%,36.9%,12.5%,98.0
Queens (NC),Tyler Cotto,All,251,31,92.9,107.6,108.7,48.4%,29.7°,18.2°,38.7,19.4%,6,0.378,.236,0.544,.428,19.4%,25.8%,32.3%,37.5%,66.0%,74.2%,18.5%,34.0%,126.0
Morehead State,Roman Kuntz,All,531,111,91.9,103.3,111.0,40.5%,28.3°,19.9°,26.1,11.7%,13,0.374,.273,0.544,.429,23.4%,42.3%,16.2%,46.5%,79.0%,88.6%,26.9%,18.2%,110.0
Lincoln Memorial,Joey Lamattina,All,50,9,95.6,105.5,105.6,55.6%,12.6°,24.6°,44.4,22.2%,2,0.333,.282,0.544,.489,11.1%,33.3%,22.2%,52.0%,91.3%,81.0%,18.5%,23.1%,175.0
Trinity (TX),Colton Harris,All,55,9,86.5,100.9,101.9,22.2%,24.5°,7.6°,44.4,0.0%,0,0.4,.352,0.543,.405,22.2%,22.2%,44.4%,34.5%,51.9%,78.6%,17.9%,26.3%,112.0
Oakland,Brandon Heidal,All,296,56,89.8,101.9,104.3,41.1%,12.2°,13.7°,35.7,7.1%,4,0.403,.287,0.543,.384,39.3%,23.2%,23.2%,42.2%,67.5%,78.3%,24.3%,24.8%,106.0
Alvin,Josh Milton,All,68,15,79.8,93.2,93.4,6.7%,7.4°,-8.1°,60.0,0.0%,0,0.474,.353,0.543,.396,40.0%,26.7%,33.3%,52.9%,76.9%,80.0%,38.1%,27.8%,46.0
James Madison,Jack Guerrero,All,57,6,90.4,96.8,97.3,66.7%,14.8°,9.7°,50.0,0.0%,0,0.444,.349,0.542,.490,33.3%,33.3%,33.3%,31.6%,61.9%,92.3%,13.9%,27.8%,134.0
Taylor,Kaleb Kolpien,All,29,8,85.5,94.2,95.8,12.5%,14.9°,5.5°,25.0,0.0%,0,0.5,.267,0.542,.332,50.0%,12.5%,25.0%,34.5%,53.8%,100.0%,18.8%,10.0%,130.0
Oregon State,Travis Bazzana,All,881,131,95.3,107.7,111.9,58.8%,12.9°,14.8°,40.5,14.5%,19,0.373,.359,0.541,.555,32.1%,20.6%,31.3%,34.5%,61.5%,86.6%,16.5%,15.8%,118.0
Georgia,Corey Collins,All,982,125,92.9,109.0,112.8,54.4%,26.3°,20.5°,42.4,20.0%,25,0.353,.358,0.541,.558,19.2%,34.4%,31.2%,35.5%,65.0%,87.2%,19.3%,20.3%,122.0
Tennessee,Christian Moore,All,1035,185,97.1,112.1,115.8,62.2%,15.7°,16.7°,38.9,19.5%,36,0.374,.377,0.541,.539,32.4%,29.2%,25.4%,45.9%,76.6%,83.2%,22.8%,22.9%,113.0
Baylor,Hunter Simmons,All,61,12,96.7,104.5,106.6,66.7%,12.5°,8.3°,50.0,16.7%,2,0.375,.382,0.541,.525,50.0%,33.3%,16.7%,41.0%,57.6%,84.2%,21.4%,24.0%,78.0
Toledo,Luke Walton,All,118,19,85.2,100.6,106.1,31.6%,14.6°,17.8°,42.1,5.3%,1,0.44,.297,0.54,.398,26.3%,31.6%,36.8%,39.0%,55.4%,87.1%,24.2%,17.4%,72.0
Morehead State,Ryley Preece,All,700,87,90.4,103.5,104.9,43.7%,21.2°,13.6°,34.5,4.6%,4,0.384,.246,0.54,.386,29.9%,33.3%,26.4%,37.6%,65.4%,81.4%,19.0%,25.1%,128.0
Northern Illinois,Colin Summerhill,All,273,44,95.4,105.4,109.3,56.8%,22.4°,19.3°,38.6,13.6%,6,0.31,.290,0.54,.466,25.0%,29.5%,25.0%,34.4%,60.0%,87.0%,15.8%,18.1%,95.0
