Team,Player,Pitch Type,Pitches,BBE,EV,EV 90,Max EV,HH%,LA,HH LA,SwSpot%,Barrel%,Barrels,BA,xBA,wOBA,xwOBA,GB%,FB%,LD%,Swing%,Z-Swing%,Z-Contact%,Chase%,Whiff%,SD+
San Jose State,Sebastian Orduno,All,312,46,90.0,102.5,104.8,47.8%,21.5°,14.3°,43.5,6.5%,3,0.298,.317,0.442,.470,28.3%,28.3%,30.4%,31.1%,58.5%,89.5%,11.5%,13.4%,145.0
Troy,Will Butcher,All,702,93,93.3,105.6,110.8,54.8%,18.1°,17.0°,41.9,14.0%,13,0.301,.294,0.442,.472,25.8%,26.9%,29.0%,34.3%,56.1%,85.5%,18.6%,24.5%,104.0
Fairfield,Zachary Selinger,All,107,19,97.2,108.6,109.8,52.6%,18.2°,13.7°,42.1,21.1%,4,0.3,.360,0.442,.512,21.1%,31.6%,31.6%,42.1%,75.0%,85.2%,25.4%,13.3%,126.0
Louisiana,Conor Higgs,All,529,78,90.5,106.1,110.9,55.1%,14.6°,17.1°,52.6,19.2%,15,0.315,.330,0.442,.470,28.2%,30.8%,34.6%,47.8%,68.5%,81.3%,33.2%,26.5%,91.0
Ohio,Alex Finney,All,122,19,82.8,96.5,100.3,21.1%,20.5°,18.4°,36.8,5.3%,1,0.357,.243,0.442,.314,31.6%,42.1%,26.3%,35.2%,57.1%,82.1%,20.5%,23.3%,117.0
Murray State,Jonathan Hogart,All,243,35,93.0,105.6,110.4,45.7%,14.4°,18.3°,48.6,8.6%,3,0.32,.317,0.442,.436,25.7%,14.3%,45.7%,38.7%,60.6%,80.3%,20.9%,26.6%,123.0
Old Dominion,Luke Waters,All,532,106,90.2,104.4,110.1,41.5%,18.2°,14.4°,39.6,6.6%,7,0.358,.264,0.442,.422,26.4%,24.5%,25.5%,43.4%,69.4%,87.7%,22.9%,21.6%,110.0
Winthrop,Jaylen Hernandez,All,106,14,90.6,104.8,105.4,42.9%,3.0°,13.5°,28.6,7.1%,1,0.263,.232,0.442,.433,35.7%,7.1%,28.6%,35.8%,63.2%,70.8%,20.6%,34.2%,110.0
East Tennessee State,Nick Iannatone,All,147,27,88.9,102.3,106.8,29.6%,-0.1°,0.4°,25.9,3.7%,1,0.367,.310,0.442,.388,59.3%,7.4%,25.9%,33.3%,66.1%,91.9%,13.2%,12.2%,134.0
SIUE,Ethan Willoughby,All,156,35,87.5,102.1,103.8,34.3%,10.8°,4.0°,31.4,0.0%,0,0.368,.314,0.442,.384,31.4%,11.4%,37.1%,41.7%,67.2%,92.3%,26.5%,13.8%,116.0
Prairie View,Michael Burroughs,All,102,19,80.2,99.5,101.2,26.3%,-6.8°,11.4°,36.8,5.3%,1,0.348,.276,0.442,.341,57.9%,10.5%,21.1%,50.0%,80.0%,87.5%,30.6%,25.5%,104.0
Dayton,Ryan MacDougall,All,235,36,87.6,98.8,100.0,33.3%,22.0°,21.6°,47.2,0.0%,0,0.34,.236,0.442,.320,22.2%,27.8%,38.9%,40.9%,67.4%,72.4%,25.5%,31.2%,133.0
Albany,Ryan Ferremi,All,75,16,90.8,100.4,100.9,43.8%,-0.1°,10.1°,37.5,0.0%,0,0.364,.285,0.441,.374,62.5%,6.2%,25.0%,46.7%,56.2%,72.2%,39.5%,37.1%,30.0
East Tennessee State,JD Yakubinis,All,83,18,86.6,102.1,105.7,44.4%,13.7°,15.0°,38.9,0.0%,0,0.429,.360,0.441,.399,27.8%,16.7%,44.4%,50.6%,68.2%,80.0%,30.8%,26.2%,81.0
Ohio State,Mitchell Okuley,All,478,63,93.3,104.9,107.9,44.4%,15.5°,13.0°,42.9,6.3%,4,0.341,.296,0.441,.437,28.6%,12.7%,38.1%,37.4%,64.7%,79.2%,17.7%,29.1%,133.0
Little Rock,Skyler Trevino,All,112,20,88.2,105.9,109.5,40.0%,10.0°,13.6°,45.0,20.0%,4,0.32,.334,0.441,.478,35.0%,25.0%,30.0%,41.1%,71.7%,76.3%,13.6%,26.1%,133.0
High Point,Miggy Echazarreta,All,419,50,84.2,97.7,101.2,22.0%,7.7°,16.0°,40.0,0.0%,0,0.318,.277,0.441,.409,42.0%,20.0%,36.0%,29.8%,54.0%,90.5%,12.3%,14.4%,136.0
Appalachian State,Drew Holderbach,All,452,72,86.5,103.3,105.6,29.2%,15.6°,14.0°,34.7,2.8%,2,0.333,.256,0.441,.360,31.9%,19.4%,30.6%,38.9%,61.9%,87.7%,21.2%,18.8%,102.0
Florida,Luke Heyman,All,237,36,93.1,106.6,108.3,52.8%,14.3°,16.5°,44.4,13.9%,5,0.286,.288,0.441,.391,30.6%,27.8%,30.6%,49.8%,70.8%,82.5%,37.2%,31.4%,45.0
Ball State,Casey Turturici,All,41,8,83.3,96.7,99.3,12.5%,15.1°,23.2°,25.0,0.0%,0,0.25,.266,0.441,.416,37.5%,37.5%,12.5%,36.6%,62.5%,100.0%,20.0%,6.7%,108.0
Charleston Southern,Dakota Miller,All,443,74,83.3,102.7,106.5,32.4%,12.7°,7.4°,31.1,1.4%,1,0.311,.211,0.441,.310,40.5%,10.8%,23.0%,46.5%,73.9%,86.9%,28.5%,31.1%,78.0
Florida,Hayden Yost,All,48,9,92.8,110.3,111.3,44.4%,9.1°,3.8°,22.2,11.1%,1,0.4,.383,0.44,.426,44.4%,0.0%,33.3%,41.7%,69.6%,100.0%,16.0%,5.0%,90.0
Merrimack,Frankie Ferrentino,All,49,9,84.1,90.6,92.5,0.0%,16.2°,-,33.3,0.0%,0,0.444,.278,0.44,.327,55.6%,22.2%,22.2%,49.0%,70.6%,91.7%,37.5%,16.7%,66.0
Florida International,Kishon Frett,All,379,53,90.0,108.9,114.1,50.9%,13.3°,13.3°,30.2,17.0%,9,0.313,.246,0.44,.372,37.7%,35.8%,17.0%,47.5%,68.7%,70.2%,31.0%,34.4%,70.0
Wofford,David Wiley,All,118,22,87.1,101.5,105.1,31.8%,8.3°,17.2°,40.9,9.1%,2,0.286,.233,0.44,.364,36.4%,13.6%,27.3%,36.4%,52.7%,86.2%,22.2%,14.0%,91.0
Louisiana Tech,Ethan Bates,All,602,139,88.8,101.2,105.4,37.4%,20.1°,14.5°,41.7,5.0%,7,0.329,.332,0.44,.434,25.2%,31.7%,32.4%,50.0%,77.4%,91.3%,30.3%,12.0%,114.0
TCU,Jack Arthur,All,161,20,90.6,103.8,107.6,50.0%,15.5°,19.0°,40.0,15.0%,3,0.296,.309,0.44,.488,30.0%,35.0%,25.0%,44.7%,76.0%,77.2%,17.4%,27.8%,162.0
NC State,Garrett Pennington,All,615,117,94.7,108.9,114.1,61.5%,19.6°,15.1°,31.6,17.1%,20,0.322,.346,0.44,.498,28.2%,27.4%,23.9%,50.2%,76.0%,87.7%,33.1%,29.1%,77.0
Arkansas-Pine Bluff,Carlos Rodriguez Velez,All,30,5,92.8,98.9,101.1,40.0%,-13.8°,1.0°,20.0,0.0%,0,0.429,.306,0.44,.467,60.0%,0.0%,20.0%,40.0%,70.0%,85.7%,25.0%,33.3%,163.0
