Team,Player,Pitch Type,Pitches,BBE,EV,EV 90,Max EV,HH%,LA,HH LA,SwSpot%,Barrel%,Barrels,BA,xBA,wOBA,xwOBA,GB%,FB%,LD%,Swing%,Z-Swing%,Z-Contact%,Chase%,Whiff%,SD+
Southeastern (FL),Myles White,All,87,10,78.9,94.8,98.0,10.0%,7.4°,27.2°,60.0,0.0%,0,0.333,0.288,0.442,0.381,50.0%,10.0%,40.0%,40.2%,61.0%,80.0%,21.7%,17.1%,116
Baylor,Ty Johnson,All,183,30,86.4,98.8,104.1,36.7%,2.7°,5.9°,26.7,0.0%,0,0.333,0.252,0.442,0.396,53.3%,10.0%,20.0%,35.5%,52.9%,87.0%,19.8%,21.5%,91
Butler,AJ Solomon,All,109,15,82.4,95.2,96.1,20.0%,3.5°,12.0°,33.3,0.0%,0,0.3,0.225,0.442,0.355,60.0%,20.0%,20.0%,29.4%,51.0%,84.0%,11.7%,18.8%,136
Princeton,Jake Bold,All,156,26,89.4,101.9,110.1,38.5%,13.0°,11.0°,38.5,7.7%,2,0.308,0.29,0.442,0.477,34.6%,38.5%,15.4%,36.5%,60.7%,88.2%,23.0%,19.3%,128
Southern Indiana,Patrick McLellan,All,109,22,90.4,97.8,100.5,31.8%,11.1°,12.7°,36.4,4.5%,1,0.375,0.361,0.442,0.459,40.9%,22.7%,27.3%,36.7%,62.5%,93.3%,16.4%,12.5%,135
Arizona State,Jax Ryan,All,118,17,91.7,101.7,104.0,64.7%,9.7°,13.7°,35.3,5.9%,1,0.375,0.242,0.441,0.339,47.1%,17.6%,29.4%,36.4%,60.0%,70.4%,21.9%,37.2%,130
Arizona,Garen Caulfield,All,265,43,89.5,103.8,105.9,44.2%,0.2°,6.2°,20.9,0.0%,0,0.308,0.284,0.441,0.388,60.5%,14.0%,23.3%,34.7%,63.9%,88.4%,14.6%,16.3%,142
Oklahoma State,Nolan Schubart,All,252,40,90.5,108.2,114.9,40.0%,22.0°,27.7°,35.0,15.0%,6,0.294,0.286,0.441,0.454,30.0%,40.0%,20.0%,42.1%,64.0%,80.8%,23.9%,30.2%,84
Creighton,Ben North,All,187,34,84.2,99.1,107.3,26.5%,5.4°,4.8°,26.5,0.0%,0,0.39,0.256,0.441,0.327,55.9%,20.6%,17.6%,39.0%,70.5%,83.6%,16.5%,19.2%,132
Carson-Newman,Ryan Bolton,All,32,13,87.4,95.8,96.2,23.1%,10.4°,-14.9°,23.1,0.0%,0,0.385,0.378,0.441,0.404,53.8%,15.4%,23.1%,59.4%,91.7%,100.0%,40.0%,0.0%,50
Northeastern,Gregory Bozzo,All,36,8,90.8,104.5,104.8,50.0%,4.5°,-1.0°,37.5,12.5%,1,0.4,0.378,0.44,0.466,50.0%,0.0%,37.5%,47.2%,77.8%,85.7%,16.7%,17.6%,97
